# ZTF DR2 lightcurve of ZTF18aahvndq
# --------------- #
# mjd_max_init:   58994.23253 (phot: fclump)
# baseline_range: 58894.23253 => 59785.92041
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  626   34   ztfg      509.63     1.37     291
#  626   34   ztfr      -22.66     1.36     189
#  626   34   ztfi       85.76     1.77      25
#  1671  09   ztfg     1578.36     1.00      11
#  1671  09   ztfr     -603.59     1.28      14
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58229.29141        ztfg  -450.45292  1006.60146    30.00000           0    99.00000    99.00000    20.74543         626          34   509.62506     1.37206           1  1219.61950   351.38930    26.32852     0.00003     0.03430     1.00146 ztf_20180421291343_000626_zg_c09_o_q3_sciimg.fits
 58230.23385        ztfr 19107.53124  8481.98792    30.00000          20    99.00000    99.00000    18.43133         626          34   -22.65673     1.36254           0  1211.44496   342.60109    26.27500     0.00039     0.09692     1.00092 ztf_20180422233854_000626_zr_c09_o_q3_sciimg.fits
 58230.33414        ztfg  -894.71169   855.00981    30.00000           0    99.00000    99.00000    20.92265         626          34   509.62506     1.37206           1  1229.34344   331.33477    26.31690     0.00002     0.02998     1.00148 ztf_20180422334097_000626_zg_c09_o_q3_sciimg.fits
 58230.33506        ztfg  -220.19198   912.73091    30.00000           0    99.00000    99.00000    20.85172         626          34   509.62506     1.37206           1  1229.59729   331.17897    26.32215     0.00002     0.03032     1.00161 ztf_20180422335046_000626_zg_c09_o_q3_sciimg.fits
 58231.27345        ztfr  6260.91461  1439.40201    30.00000        1152    99.00000    99.00000    20.35712         626          34   -22.65673     1.36254           0  1217.42295   344.88259    26.27500     0.00002     0.03025     1.00149 ztf_20180423273414_000626_zr_c09_o_q3_sciimg.fits
 58231.31336        ztfr  3198.35437  1502.32896    30.00000         128    99.00000    99.00000    20.31066         626          34   -22.65673     1.36254           1  1224.53210   347.94699    26.27500     0.00002     0.02880     1.00165 ztf_20180423313171_000626_zr_c09_o_q3_sciimg.fits
 58232.16976        ztfg -7299.12738  3758.31417    30.00000         128    99.00000    99.00000    19.31509         626          34   509.62506     1.37206           0  1212.09966   299.50984    25.80394     0.00008     0.05013     1.00137 ztf_20180424169745_000626_zg_c09_o_q3_sciimg.fits
 58232.23054        ztfr -1607.36546  6681.27088    30.00000         144    99.00000    99.00000    18.69043         626          34   -22.65673     1.36254           1  1215.01569   306.82528    26.27500     0.00008     0.04985     1.00105 ztf_20180424230498_000626_zr_c09_o_q3_sciimg.fits
 58232.31897        ztfi  4528.76964  2232.10142    30.00000         128    99.00000    99.00000    19.88079         626          34    85.75988     1.77058           1  1228.86699   314.53541    25.76730     0.00001     0.02412     1.00141 ztf_20180424318958_000626_zi_c09_o_q3_sciimg.fits
 58233.19286        ztfr -1227.71405  1383.18034    30.00000         128    99.00000    99.00000    20.40038         626          34   -22.65673     1.36254           1  1209.16880   336.58949    26.27500     0.00002     0.02909     1.00367 ztf_20180425192836_000626_zr_c09_o_q3_sciimg.fits
 58233.20559        ztfr  1425.02300  1516.69888    30.00000         128    99.00000    99.00000    20.30033         626          34   -22.65673     1.36254           1  1209.35986   335.58685    26.27500     0.00002     0.02847     1.00126 ztf_20180425205579_000626_zr_c09_o_q3_sciimg.fits
 58233.24338        ztfg  1920.86656  1486.72389    30.00000         128    99.00000    99.00000    20.32200         626          34   509.62506     1.37206           1  1217.54392   339.24013    26.29989     0.00004     0.04091     1.00140 ztf_20180425243218_000626_zg_c09_o_q3_sciimg.fits
 58234.19008        ztfg -2917.31654  5310.29666    30.00000         128    99.00000    99.00000    18.93978         626          34   509.62506     1.37206           0  1212.53330   320.21135    25.85974     0.00015     0.05328     1.00121 ztf_20180426190012_000626_zg_c09_o_q3_sciimg.fits
 58234.25118        ztfg  1998.45138  4212.90347    30.00000         128    99.00000    99.00000    19.19112         626          34   509.62506     1.37206           1  1220.36065   326.71792    25.96307     0.00006     0.03736     1.00144 ztf_20180426250995_000626_zg_c09_o_q3_sciimg.fits
 58235.23655        ztfg -3952.09623  2755.99317    30.00000         128    99.00000    99.00000    19.65188         626          34   509.62506     1.37206           0  1217.15637   273.54393    26.30276     0.00004     0.04005     1.00120 ztf_20180427236354_000626_zg_c09_o_q3_sciimg.fits
 58235.23792        ztfg  -403.78246  3010.93771    30.00000         128    99.00000    99.00000    19.55582         626          34   509.62506     1.37206           1  1216.62273   273.44445    26.31384     0.00004     0.03810     1.00122 ztf_20180427237917_000626_zg_c09_o_q3_sciimg.fits
 58235.23838        ztfg -2126.14013  2707.60504    30.00000         128    99.00000    99.00000    19.67111         626          34   509.62506     1.37206           0  1217.34561   273.51942    26.31305     0.00004     0.03898     1.00123 ztf_20180427238368_000626_zg_c09_o_q3_sciimg.fits
 58235.24295        ztfg -1497.68151  1693.50220    30.00000         192    99.00000    99.00000    20.18061        1671           9  1578.36328     1.00000           1   426.16461  2626.00536    26.29439     0.00003     0.03618     1.00142 ztf_20180427242951_001671_zg_c03_o_q2_sciimg.fits
 58235.24341        ztfg    -9.64020  1630.91765    30.00000         192    99.00000    99.00000    20.22149        1671           9  1578.36328     1.00000           1   426.80278  2626.12097    26.32152     0.00004     0.03735     1.00116 ztf_20180427243403_001671_zg_c03_o_q2_sciimg.fits
 58236.23119        ztfg  1796.34186  4120.88176    30.00000         128    99.00000    99.00000    19.21510         626          34   509.62506     1.37206           1  1215.08359   289.30622    26.25550     0.00007     0.04210     1.00121 ztf_20180428231181_000626_zg_c09_o_q3_sciimg.fits
 58236.23259        ztfg -3993.87833  4149.02805    30.00000         128    99.00000    99.00000    19.20771         626          34   509.62506     1.37206           0  1215.11621   289.57220    26.28130     0.00006     0.03972     1.00108 ztf_20180428232569_000626_zg_c09_o_q3_sciimg.fits
