JD,Flux,Err,filter,zp
2459016.7375,208.42497662878,34.4380638366588,ZTF_r,25.9688
2459019.7132407,220.397885309012,25.6745863558416,ZTF_r,26.0548
2459021.7357755,162.515889467803,26.2336585278575,ZTF_r,26.0349
2459022.7200231,202.406564609288,22.4088047999164,ZTF_r,26.0756
2459024.7136921,164.485223281043,27.1160870419564,ZTF_r,25.8184
2459025.6889815,200.864268111506,24.8191520289411,ZTF_r,25.8571
2459027.7549421,157.238940591665,37.1947190198924,ZTF_r,25.9236
2459028.714537,172.069012712197,38.5222792064251,ZTF_r,25.9764
2459031.7115625,168.610303624606,56.0298042796475,ZTF_r,25.9635
2459033.6728241,187.082947281236,66.7700864857354,ZTF_r,26.07
2459034.8134838,163.507671064983,78.2641827752556,ZTF_r,25.95
2459036.7782523,194.225676647518,60.922550236567,ZTF_r,26.0249
2459037.6912616,118.599103833468,37.3298607954174,ZTF_r,26.032
2459039.7289352,167.655933749232,26.174592630604,ZTF_r,26.0598
2459040.6985301,166.891749908173,28.2597895033158,ZTF_r,26.058
2459042.7125694,116.27675109433,28.5889115415859,ZTF_r,25.988
2459043.7343634,111.929513317078,32.7505237555019,ZTF_r,25.9638
2459044.7137037,107.159570061528,31.4464237162876,ZTF_r,26.0433
2459045.6929861,80.0320066892862,25.2218955300825,ZTF_r,26.0556
2459046.6907118,106.2082460833398,45.56898547790838,ZTF_r,26.0642
2459048.6861458,174.313233372162,33.500542348063,ZTF_r,26.0645
2459049.66883685,105.859643670347,64.61205212717168,ZTF_r,26.05375
2459050.7569213,129.3053273739568,63.51423450337124,ZTF_r,25.99525
2459051.69301505,60.58377886348825,40.19934182803979,ZTF_r,26.03895
2459052.74318865,105.38892919119866,44.18025980143873,ZTF_r,26.021
2459053.68644675,138.64085722820099,36.49717129347253,ZTF_r,26.06145
2459055.69345485,93.05797983276895,53.80339570699336,ZTF_r,26.0111
2459056.6879051,97.0348328322439,39.164436408024,ZTF_r,26.0247
2459060.6926272996,44.0759882466274,68.38428295068142,ZTF_r,26.02885
2459062.72931135,117.3847767527822,83.14894778404307,ZTF_r,25.95505
2459063.66873265,55.533264027936355,69.18421644069642,ZTF_r,26.04245
2459065.65694445,11.707561705945508,108.21507086685772,ZTF_r,26.0455
