# ZTF DR2 lightcurve of ZTF20abbhyxu
# --------------- #
# mjd_max_init:   59000.83072 (phot: fclump)
# baseline_range: 58900.83072 => 59656.89805
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  632   02   ztfg      102.46     1.00      75
#  632   02   ztfr      159.96     1.00      94
#  632   02   ztfi     -996.81     1.00      41
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58276.29552        ztfr -2270.52173   930.55117    30.00000           0    99.00000    99.00000    20.83072         632           2   159.95683     1.00000           0  1458.68326  1198.35058    26.10351     0.00000     0.01936     1.00138 ztf_20180607295509_000632_zr_c01_o_q3_sciimg.fits
 58276.34264        ztfg   273.11276   539.22344    30.00000           0    99.00000    99.00000    21.42315         632           2   102.46215     1.00000           1  1464.20792  1197.16374    26.19481     0.00000     0.02401     1.00139 ztf_20180607342627_000632_zg_c01_o_q3_sciimg.fits
 58277.29532        ztfi     0.00000  1466.74037    30.00000           0    99.00000    99.00000    20.33669         632           2  -996.80959     1.00000           1  1459.52910  1205.93316    25.40307     0.00000     0.02252     1.00126 ztf_20180608295312_000632_zi_c01_o_q3_sciimg.fits
 58279.27503        ztfr -1077.73909   932.39416    30.00000           0    99.00000    99.00000    20.82858         632           2   159.95683     1.00000           1  1455.16793  1254.97924    26.09532     0.00000     0.02031     1.00155 ztf_20180610274965_000632_zr_c01_o_q3_sciimg.fits
 58279.31763        ztfg   317.48168   665.02618    30.00000           0    99.00000    99.00000    21.19548         632           2   102.46215     1.00000           1  1460.71696  1252.99002    26.17265     0.00000     0.02579     1.00146 ztf_20180610317616_000632_zg_c01_o_q3_sciimg.fits
 58281.29606        ztfi  2237.56071  1346.89303    30.00000           0    99.00000    99.00000    20.42924         632           2  -996.80959     1.00000           1  1458.27506  1320.62055    25.40653     0.00000     0.01866     1.00143 ztf_20180612296065_000632_zi_c01_o_q3_sciimg.fits
 58282.29103        ztfg  1053.36861   799.31457    30.00000           0    99.00000    99.00000    20.99578         632           2   102.46215     1.00000           1  1461.43077  1346.55485    26.09545     0.00001     0.02700     1.00162 ztf_20180613291007_000632_zg_c01_o_q3_sciimg.fits
 58285.29741        ztfr  2995.43562  4074.40492    30.00000           4    99.00000    99.00000    19.22741         632           2   159.95683     1.00000           0  1458.71641  1296.22575    24.59186     0.00021     0.16026     1.00141 ztf_20180616297407_000632_zr_c01_o_q3_sciimg.fits
 58285.47654        ztfi   205.13770  2545.98305    30.00000         512    99.00000    99.00000    19.73794         632           2  -996.80959     1.00000           1  1471.37144  1156.73203    25.32808     0.00000     0.02753     1.00105 ztf_20180616476539_000632_zi_c01_o_q3_sciimg.fits
 58288.29909        ztfr   720.71130   736.66999    30.00000           0    99.00000    99.00000    21.08439         632           2   159.95683     1.00000           1  1456.98735  1346.51642    26.09716     0.00000     0.02209     0.99983 ztf_20180619299062_000632_zr_c01_o_q3_sciimg.fits
 58288.33926        ztfg   906.74865   688.52536    30.00000           0    99.00000    99.00000    21.15778         632           2   102.46215     1.00000           1  1464.74393  1341.01023    26.19528     0.00001     0.02713     1.00149 ztf_20180619339248_000632_zg_c01_o_q3_sciimg.fits
 58290.17578        ztfi  -547.80653  1866.34567    30.00000         128    99.00000    99.00000    20.07509         632           2  -996.80959     1.00000           1  1447.50118  1216.35723    25.36638     0.00000     0.02202     1.00122 ztf_20180621175775_000632_zi_c01_o_q3_sciimg.fits
 58291.25409        ztfr   832.34757  1477.85057    30.00000         160    99.00000    99.00000    20.32850         632           2   159.95683     1.00000           1  1458.33394  1191.23094    26.10028     0.00001     0.02758     1.00155 ztf_20180622254086_000632_zr_c01_o_q3_sciimg.fits
 58294.19304        ztfg  -430.98963  1315.70778    30.00000         128    99.00000    99.00000    20.45468         632           2   102.46215     1.00000           1  1449.28667  1231.21763    26.19138     0.00001     0.03342     1.00131 ztf_20180625192940_000632_zg_c01_o_q3_sciimg.fits
 58294.33819        ztfi  3729.04086  2315.96417    30.00000         128    99.00000    99.00000    19.84075         632           2  -996.80959     1.00000           0  1465.68444  1204.49648    25.41134     0.00000     0.02338     1.00120 ztf_20180625338171_000632_zi_c01_o_q3_sciimg.fits
 58297.29435        ztfr -1030.82354  2349.34502    30.00000           0    99.00000    99.00000    19.82521         632           2   159.95683     1.00000           1  1461.17498  1264.54620    26.08562     0.00001     0.03246     1.00144 ztf_20180628294340_000632_zr_c01_o_q3_sciimg.fits
 58300.31715        ztfr   -80.53937  1397.03983    30.00000           0    99.00000    99.00000    20.38955         632           2   159.95683     1.00000           1  1458.12255  1339.07776    26.01021     0.00000     0.02518     1.00113 ztf_20180701317141_000632_zr_c01_o_q3_sciimg.fits
 58302.17554        ztfi  1907.22073  1917.29324    30.00000           0    99.00000    99.00000    20.04585         632           2  -996.80959     1.00000           1  1440.62741  1231.44196    25.39362     0.00000     0.02375     1.00140 ztf_20180703175544_000632_zi_c01_o_q3_sciimg.fits
 58303.29983        ztfr  1010.37379  1220.89963    30.00000           0    99.00000    99.00000    20.53588         632           2   159.95683     1.00000           1  1457.12308  1168.60851    26.04553     0.00000     0.02217     1.00137 ztf_20180704299815_000632_zr_c01_o_q3_sciimg.fits
 58306.19021        ztfr -1360.99717  1571.46667    30.00000          32    99.00000    99.00000    20.26181         632           2   159.95683     1.00000           1  1445.33111  1274.74628    25.97436     0.00002     0.03739     1.00116 ztf_20180707190208_000632_zr_c01_o_q3_sciimg.fits
 58306.21426        ztfg    27.42437   668.87145    30.00000           0    99.00000    99.00000    21.18922         632           2   102.46215     1.00000           1  1450.67667  1275.61111    26.03128     0.00001     0.02664     1.00158 ztf_20180707214248_000632_zg_c01_o_q3_sciimg.fits
 58311.18919        ztfr  1225.21056  1004.66141    30.00000           0    99.00000    99.00000    20.74753         632           2   159.95683     1.00000           1  1448.74406  1192.93734    25.94474     0.00000     0.02451     0.99977 ztf_20180712189190_000632_zr_c01_o_q3_sciimg.fits
 58311.25561        ztfg  -184.99964   574.27898    30.00000           0    99.00000    99.00000    21.35477         632           2   102.46215     1.00000           1  1458.68519  1187.40247    25.96600     0.00001     0.02695     1.00156 ztf_20180712255602_000632_zg_c01_o_q3_sciimg.fits
 58312.17324        ztfi   791.89073  2023.53235    30.00000           0    99.00000    99.00000    19.98730         632           2  -996.80959     1.00000           1  1449.44764  1259.38364    25.29382     0.00000     0.02299     0.99963 ztf_20180713173229_000632_zi_c01_o_q3_sciimg.fits
 58314.20751        ztfr   184.56803  1004.60493    30.00000           0    99.00000    99.00000    20.74759         632           2   159.95683     1.00000           1  1452.09601  1270.01403    25.98992     0.00000     0.02517     1.00128 ztf_20180715207465_000632_zr_c01_o_q3_sciimg.fits
 58314.24757        ztfg -1557.31650   829.44883    30.00000          32    99.00000    99.00000    20.95560         632           2   102.46215     1.00000           1  1455.26756  1267.10351    26.00627     0.00001     0.02744     1.00164 ztf_20180715247558_000632_zg_c01_o_q3_sciimg.fits
 58320.19059        ztfg   119.01800  1326.00609    30.00000         128    99.00000    99.00000    20.44621         632           2   102.46215     1.00000           1  1438.29406  1195.40819    26.17890     0.00001     0.03504     1.00327 ztf_20180721190544_000632_zg_c01_o_q3_sciimg.fits
 58324.16951        ztfr   613.42808  1679.05124    30.00000         128    99.00000    99.00000    20.18992         632           2   159.95683     1.00000           1  1448.72454  1343.31796    26.08742     0.00000     0.02546     1.00119 ztf_20180725169456_000632_zr_c01_o_q3_sciimg.fits
 58324.25321        ztfg -1079.63285  1820.64355    30.00000         128    99.00000    99.00000    20.10201         632           2   102.46215     1.00000           1  1452.16887  1317.96148    26.11520     0.00001     0.03604     1.00120 ztf_20180725253183_000632_zg_c01_o_q3_sciimg.fits
 58325.29569        ztfi -3036.79651  3369.40486    30.00000         160    99.00000    99.00000    19.43369         632           2  -996.80959     1.00000           0  1455.60321  1151.46726    25.33838     0.00001     0.03962     1.00137 ztf_20180726295683_000632_zi_c01_o_q3_sciimg.fits
