# #JD, Flux, Err, Zp
2.459000757129599806e+06 1.952908819706960060e+02 3.643248626577520355e+01 2.611899999999999977e+01
2.459001871354199946e+06 1.961730326689900039e+02 4.890106852521800107e+01 2.601000000000000156e+01
2.459004688437500037e+06 1.400293302777909901e+02 8.640905165001049681e+01 2.614639999999999986e+01
2.459009754340299871e+06 9.426078552366030294e+01 3.861990299796430293e+01 2.617630000000000123e+01
2.459012694380800240e+06 1.094197120831734935e+02 1.654406684969617203e+01 2.621005000000000251e+01
2.459016699293999933e+06 1.125951363530100053e+02 2.454474920052680176e+01 2.623000000000000043e+01
2.459018701307899784e+06 1.008766356402239950e+02 2.134435286738570170e+01 2.616260000000000119e+01
2.459019755659699906e+06 9.286142263557150045e+01 2.245093282030909876e+01 2.614430000000000121e+01
2.459022701296300162e+06 1.007145358938009991e+02 2.245049416963090039e+01 2.620400000000000063e+01
2.459024701585600153e+06 8.155249155505589442e+01 2.360569705919229833e+01 2.614740000000000109e+01
2.459025728472200222e+06 9.935178970913470664e+01 2.042131558550750015e+01 2.590960000000000107e+01
2.459027693414399866e+06 8.422853001841180287e+01 3.464493549883810175e+01 2.604899999999999949e+01
2.459028703009299934e+06 8.699992693132419674e+01 3.271457611180250069e+01 2.608220000000000027e+01
2.459030822291700169e+06 9.621710229568769535e+01 1.002007044860170026e+02 2.589819999999999922e+01
2.459031688414399978e+06 9.932919408544040607e+01 6.591830802036629677e+01 2.607570000000000121e+01
2.459033692314799875e+06 9.427839205159649794e+01 8.806262269918279628e+01 2.615930000000000177e+01
2.459034696469900198e+06 1.788726312393069975e+02 5.978839878139709896e+01 2.614430000000000121e+01
2.459036729513899889e+06 1.112055862680319933e+02 6.129203093738080099e+01 2.612879999999999825e+01
2.459037731296299957e+06 2.830864153384520066e+01 5.809121011639719967e+01 2.610559999999999903e+01
2.459039697384300176e+06 3.035873266872430065e+01 2.364306612021000120e+01 2.616179999999999950e+01
2.459042695717600174e+06 7.811665392066960578e+01 2.228850955145970048e+01 2.605209999999999937e+01
2.459043711307900026e+06 6.166341009092400327e+01 2.518912834039580062e+01 2.610379999999999967e+01
2.459045733402799815e+06 7.529528744087359371e+01 2.716025081761630133e+01 2.610820000000000007e+01
2.459046710636599921e+06 6.992420673081704763e+01 1.969937792511312580e+01 2.617200000000000060e+01
2.459048764184050262e+06 4.780668558149820058e+01 1.971362135933447846e+01 2.604929999999999879e+01
2.459049690069450065e+06 6.555698883349140260e+01 1.788031819703840952e+01 2.616214999999999691e+01
2.459050708449100144e+06 4.756550106446169934e+01 3.006988804023880135e+01 2.612059999999999960e+01
2.459051673263899982e+06 7.752600556356779293e+01 3.306848087662100255e+01 2.613200000000000145e+01
2.459053694120400120e+06 5.916519797903099942e+01 2.166663900754999972e+01 2.611589999999999989e+01
2.459054770694400184e+06 6.248192223443670201e+01 3.299774357892560062e+01 2.594600000000000151e+01
2.459055677916649729e+06 5.231914773776620109e+01 2.131285091164605561e+01 2.609084999999999965e+01
2.459056757656250149e+06 4.665392500278951360e+00 3.056811899550930889e+01 2.594519999999999982e+01
2.459057690717600286e+06 1.523530719050505411e-01 2.861868714697882510e+01 2.608619999999999806e+01
2.459060727580999956e+06 -1.547904729600215035e+01 4.166260136695070315e+01 2.604019999999999868e+01
2.459062693697900046e+06 1.910891996712440033e+01 3.774054848595667266e+01 2.608169999999999789e+01
2.459065693703699857e+06 1.287675273490150119e+02 7.535796271140189617e+01 2.604710000000000036e+01
2.459067726666700095e+06 -3.708391383344790171e+01 6.375486938945159920e+01 2.601599999999999824e+01
2.459073716770799831e+06 4.206862209972150168e+01 3.609687507500630232e+01 2.595289999999999964e+01
2.459074707951399963e+06 1.348422330315919915e+01 3.061840831570399857e+01 2.584069999999999823e+01
2.459075672465300187e+06 -5.254393275307590017e+01 3.270179394680970120e+01 2.522439999999999927e+01
2.459077727847199887e+06 -1.235436569522459926e+01 3.860507668276800075e+01 2.532199999999999918e+01
