# #JD, Flux, Err, Zp
2.458962731134249829e+06 -1.685141535809235336e+01 1.798577567976959557e+01 2.620374999999999943e+01
2.458963723148100078e+06 7.633617293376239843e+00 2.511953704666959908e+01 2.622119999999999962e+01
2.458964689189800061e+06 -2.718885516633930166e+01 2.453906644664209935e+01 2.614610000000000056e+01
2.458965730931700207e+06 -1.316826599697840017e+01 1.727433744668939397e+01 2.624090000000000344e+01
2.458966753506899811e+06 -1.120436707999060033e+01 2.803893062744489839e+01 2.499279999999999902e+01
2.458967750653900206e+06 -3.166626608849224755e+00 2.111935366669681358e+01 2.621229999999999905e+01
2.458968772841449827e+06 -4.603389741739499996e+00 2.113396298405958618e+01 2.625605000000000189e+01
2.458969733124999795e+06 -4.407551320512799720e+01 3.189909415985739827e+01 2.601000000000000156e+01
2.458971774658550043e+06 5.479907207092509935e+01 3.823817283565637837e+01 2.628134999999999977e+01
2.458975750196800102e+06 2.252300614239080096e+04 1.261019668140030063e+02 2.628559999999999874e+01
2.458978692517349962e+06 5.185160335185989970e+04 8.865685591923129039e+01 2.625164999999999793e+01
2.458979752164400183e+06 4.816805098310959875e+04 1.222125383193330066e+02 2.617289999999999850e+01
2.458980689548599999e+06 5.125917205479439872e+04 1.199112712313490050e+02 2.623819999999999908e+01
2.458981699745350052e+06 5.110936510661274951e+04 8.559901975824205067e+01 2.624125000000000085e+01
2.458986691284749657e+06 4.679459453297464643e+04 8.174284445051797832e+01 2.625000000000000000e+01
2.458987731585599948e+06 4.599348903776639781e+04 1.143375251207049956e+02 2.628859999999999886e+01
2.458991670127300080e+06 4.380040022622270044e+04 1.117657970612609972e+02 2.623949999999999960e+01
2.458992692748850212e+06 4.103467294098294951e+04 7.697105932471122003e+01 2.624324999999999974e+01
2.458993749004600104e+06 3.738656895274179988e+04 1.052395699326820022e+02 2.617849999999999966e+01
2.458994721574100200e+06 3.897338505451250239e+04 1.060380938802820054e+02 2.622030000000000172e+01
2.458995701006949879e+06 3.795878782721619791e+04 7.412245692143834219e+01 2.623949999999999960e+01
2.458997686319400091e+06 3.540626984929769969e+04 1.023772755995759951e+02 2.625969999999999871e+01
2.458998693188650068e+06 3.478398818894034775e+04 7.294480789044496305e+01 2.625515000000000043e+01
2.458999727997700218e+06 9.780794817678770414e+03 9.492170586273300614e+01 2.499680000000000035e+01
2.459005686759300064e+06 2.858837843709340086e+04 1.145766495037660064e+02 2.620510000000000161e+01
2.459009731481499970e+06 2.521917256868099867e+04 1.038499930048260040e+02 2.625199999999999889e+01
2.459014699872700032e+06 2.595952630508489892e+04 8.910579773870719578e+01 2.628519999999999968e+01
2.459020697789399885e+06 2.177757199606799986e+04 8.147681114300260674e+01 2.619389999999999930e+01
2.459023714409700129e+06 1.995448615535660065e+04 7.931809978530020544e+01 2.616460000000000008e+01
2.459033697928200010e+06 1.329330682924500070e+04 1.033140490405859993e+02 2.620769999999999911e+01
