# #JD, Flux, Err, Zp
2.458270890636599623e+06 -2.977205360852276783e+01 3.969137364202795482e+01 2.628074999999999761e+01
2.458272793049749918e+06 -7.802255485302335103e+01 2.369593929746256222e+01 2.627499999999999858e+01
2.458273850630749948e+06 -3.663761866174264981e+01 2.373568525625936587e+01 2.627499999999999858e+01
2.458274813697949983e+06 -6.081559759783459640e+01 1.947796632372322989e+01 2.627499999999999858e+01
2.458275881817100104e+06 -6.668326610923770659e+01 2.988548383975620126e+01 2.627499999999999858e+01
2.458276820734949782e+06 -7.899281167448189933e+01 1.673669904422852994e+01 2.627499999999999858e+01
2.458277834959500004e+06 -8.727776030133084362e+01 1.923330503730185015e+01 2.619334999999999880e+01
2.458278786533600185e+06 -5.783492349810249777e+01 2.062289346282094371e+01 2.627499999999999858e+01
2.458279833906250075e+06 -9.690202237893680604e+01 2.302073949413896869e+01 2.627499999999999858e+01
2.458280820908550173e+06 -6.138849728249428495e+01 1.929347849563087891e+01 2.627499999999999858e+01
2.458281834004600067e+06 -3.845673621272457865e+01 1.991367244403457448e+01 2.627499999999999858e+01
2.458282808807900175e+06 1.511134265577065072e+01 2.034273888186733714e+01 2.616924999999999812e+01
2.458283828721050173e+06 -5.175648881905149779e+01 1.946002532891339598e+01 2.627499999999999858e+01
2.458284794224550016e+06 -5.927723623345774939e+01 2.088312379652407458e+01 2.627499999999999858e+01
2.458285860231500119e+06 -1.076868322812964891e+02 1.558551969164418516e+01 2.627499999999999858e+01
2.458286815225699916e+06 -7.847956267322349788e+01 1.782858683189369131e+01 2.627499999999999858e+01
2.458287772934000008e+06 -1.629232730373232840e+01 1.918280823459578599e+01 2.627499999999999858e+01
2.458288794571749866e+06 -1.035127547210288412e+02 1.625613172601979173e+01 2.615579999999999927e+01
2.458289755792849697e+06 -2.570163406721999877e+01 1.809722856309554473e+01 2.612699999999999889e+01
2.458290832314800005e+06 -3.847385975698850302e+01 2.305857531656124237e+01 2.611564999999999870e+01
2.458291794756949879e+06 -4.525565508608974596e+01 2.300527116596664712e+01 2.614065000000000083e+01
2.458292784363400191e+06 -9.894938946447815908e+00 2.463503821207480726e+01 2.614414999999999978e+01
2.458293753292850219e+06 -8.933372285762959564e+01 2.688935987295102237e+01 2.615060000000000073e+01
2.458294808287050109e+06 -5.136645733161554972e+01 3.173461949510324942e+01 2.623160000000000025e+01
2.458297813935199752e+06 4.950102074254502327e+00 5.406541810979383200e+01 2.611710000000000065e+01
2.458298785613450222e+06 -9.068550094318564447e+01 4.436174651923116130e+01 2.611829999999999785e+01
2.458299853611149825e+06 5.205852401594844991e+01 5.294446233901420129e+01 2.610170000000000101e+01
2.458300841903899796e+06 -5.976103672845485448e+01 2.926831393784118518e+01 2.604905000000000115e+01
2.458301691886600107e+06 -6.082632423784294673e+01 2.432709298189401537e+01 2.618959999999999866e+01
2.458302825167800300e+06 3.818968737774414990e+01 5.762301551205016636e+01 2.613300000000000267e+01
2.458303800815950148e+06 -2.288213829640340080e+01 1.827355633793744971e+01 2.608955000000000268e+01
2.458304834809049964e+06 -5.387325221073295012e+01 1.808777864628979515e+01 2.609144999999999825e+01
2.458305849218749907e+06 8.117329266861005976e+00 2.256583407793818097e+01 2.607319999999999993e+01
2.458306703900449909e+06 7.409139067657224409e+00 1.682796261585855646e+01 2.597950000000000159e+01
2.458307778906250373e+06 -8.015360783051275462e+01 1.600322473966405568e+01 2.601239999999999952e+01
2.458308834363400005e+06 2.250853940828945632e+00 2.559211861883548877e+01 2.527649999999999864e+01
