# #JD, Flux, Err, Zp
2.459044713703699876e+06 1.071595700615280009e+02 3.144642371628760102e+01 2.604329999999999856e+01
2.459045692986099981e+06 8.003200668928620587e+01 2.522189553008249874e+01 2.605559999999999832e+01
2.459046690711800009e+06 1.062082460833398017e+02 2.278449273895418870e+01 2.606419999999999959e+01
2.459048686145800166e+06 1.743132333721619887e+02 3.350054234806300002e+01 2.606449999999999889e+01
2.459049668836850207e+06 1.058596436703469976e+02 3.230602606358583984e+01 2.605375000000000085e+01
2.459050756921300199e+06 1.293053273739567999e+02 3.175711725168562083e+01 2.599524999999999864e+01
2.459051693015050143e+06 6.058377886348824859e+01 2.009967091401989592e+01 2.603894999999999982e+01
2.459052743188649882e+06 1.053889291911986561e+02 2.209012990071936500e+01 2.602100000000000080e+01
2.459053686446750071e+06 1.386408572282009857e+02 1.824858564673626660e+01 2.606145000000000067e+01
2.459055693454849999e+06 9.305797983276895025e+01 2.690169785349668174e+01 2.601109999999999900e+01
2.459056687905100174e+06 9.703483283224389311e+01 3.916443640802400239e+01 2.602469999999999928e+01
2.459060692627299577e+06 4.407598824662739645e+01 3.419214147534071202e+01 2.602884999999999849e+01
2.459062729311349802e+06 1.173847767527822015e+02 4.157447389202153687e+01 2.595504999999999995e+01
2.459063668732650112e+06 5.553326402793635452e+01 3.459210822034820865e+01 2.604244999999999877e+01
2.459065656944449991e+06 1.170756170594550838e+01 5.410753543342885763e+01 2.604550000000000054e+01
2.459066711794000119e+06 4.152088158096219672e+01 5.752906712530209887e+01 2.598770000000000024e+01
2.459067667094899807e+06 6.439057805530569567e+01 3.507511700936780130e+01 2.604799999999999827e+01
2.459069691377299838e+06 4.669930214408838509e+01 2.229212166471847922e+01 2.612825000000000131e+01
2.459073670358799864e+06 7.070609270905110577e+01 4.261130620640459910e+01 2.602459999999999951e+01
2.459074675092599820e+06 6.769136607504890435e+01 4.047609015935019983e+01 2.581299999999999883e+01
2.459075726747700013e+06 2.403746261581780175e+01 4.778042359307119824e+01 2.570380000000000109e+01
2.459077664675899781e+06 8.228558828935030078e+01 4.803693958912599982e+01 2.542050000000000054e+01
2.459078670555599965e+06 1.038865472961840055e+02 3.336174457933950066e+01 2.590510000000000090e+01
2.459096630989599973e+06 7.350917755826199596e+01 4.987679868226895508e+01 2.590994999999999848e+01
2.459098633315949701e+06 -1.576476571906254875e+01 3.806926173294566240e+01 2.592565000000000097e+01
