# #JD, Flux, Err, Zp
2.458971711064849980e+06 4.604236319735139915e+01 3.597125074714156057e+01 2.628159999999999741e+01
2.458975702557899989e+06 1.310224318323810076e+04 1.056138401872780008e+02 2.628470000000000084e+01
2.458978748350650072e+06 5.142313356549035234e+04 8.961671829410457235e+01 2.629119999999999990e+01
2.458981749589149840e+06 5.294619023632349854e+04 8.879638508950856135e+01 2.626839999999999975e+01
2.458986755555599928e+06 5.211829151964210178e+04 1.240858277596060049e+02 2.625840000000000174e+01
2.458987797627300024e+06 5.088565080831199884e+04 1.218136663760959948e+02 2.627400000000000091e+01
2.458991727661999874e+06 5.293570856659240235e+04 1.251362317469770034e+02 2.626160000000000139e+01
2.458992733807849698e+06 5.113386887102645414e+04 8.608578868939153494e+01 2.624365000000000236e+01
2.458995720445599873e+06 5.076817808023805264e+04 8.670033123086142268e+01 2.626165000000000305e+01
2.458996755243100226e+06 4.881635143461739790e+04 1.197628956717520055e+02 2.621900000000000119e+01
2.458998725161999930e+06 5.232557022921420139e+04 1.267610759562829941e+02 2.624970000000000070e+01
2.458999786157399882e+06 4.340525627937520039e+04 1.452588358430579945e+02 2.621709999999999852e+01
2.459017735254600178e+06 4.383214418526469672e+04 1.146640761400250028e+02 2.625369999999999848e+01
2.459020736388899852e+06 4.009099119910260197e+04 1.093696033912620038e+02 2.618939999999999912e+01
2.459033676169000100e+06 3.169857211003989869e+04 1.274959650628649968e+02 2.626689999999999969e+01
2.459158035133149941e+06 2.372334110293094909e+03 6.103052223268331744e+01 2.615610000000000213e+01
2.459164034421300050e+06 2.579041312829649996e+03 4.249951099732409432e+01 2.623770000000000024e+01
2.459166036701399833e+06 2.492181965568865053e+03 3.772860780279137316e+01 2.623349999999999937e+01
2.459168036608800292e+06 2.355822639979190171e+03 4.304993672457815279e+01 2.625390000000000157e+01
2.459176002129599918e+06 2.107376412722119881e+02 5.024276252590880176e+01 2.390569999999999951e+01
2.459177061585600022e+06 2.052745375888609942e+03 8.449450400336340294e+01 2.626490000000000080e+01
2.459181061342599802e+06 1.961163875013279949e+03 9.380560657373850120e+01 2.629670000000000130e+01
2.459185006689799950e+06 1.816181880364290009e+03 7.244512172324870392e+01 2.627580000000000027e+01
2.459189010717600118e+06 1.795597843226460100e+03 5.816311589713860286e+01 2.630249999999999844e+01
2.459195016099500004e+06 1.478702105060039912e+03 4.111986587847179919e+01 2.622190000000000154e+01
2.459198984710600227e+06 1.421825730782370101e+03 6.004209267042350007e+01 2.627070000000000149e+01
2.459201025486099999e+06 7.692402785906150484e+02 4.370198568445869824e+01 2.555150000000000077e+01
2.459203999108800199e+06 1.196810569176629997e+03 5.343383851851940136e+01 2.628490000000000038e+01
2.459205005671299994e+06 1.426699596820920078e+03 3.888871185443169765e+01 2.629729999999999990e+01
2.459217015092600137e+06 1.005743825525010038e+03 8.071030137495239387e+01 2.614099999999999824e+01
2.459221943807899952e+06 1.066924363496540082e+03 5.413481120046719752e+01 2.623849999999999838e+01
2.459223967986099888e+06 9.463619716250780129e+02 5.207340251961719702e+01 2.629400000000000048e+01
2.459226003935200162e+06 3.161421351906799941e+02 8.266557285255260012e+01 2.525609999999999999e+01
2.459227878969899844e+06 8.401333781053559733e+02 4.233153518835789697e+01 2.610539999999999949e+01
2.459229933379599825e+06 8.701004833098379549e+02 6.391280375170089911e+01 2.627039999999999864e+01
2.459231982580999844e+06 9.390442494621960350e+02 3.625548105164740065e+01 2.631830000000000069e+01
2.459249912939799950e+06 6.089395791723070488e+02 5.912371047206860197e+01 2.628839999999999932e+01
2.459251961863399949e+06 6.287937792041830107e+02 3.465993060126500325e+01 2.630790000000000006e+01
2.459253987025499810e+06 6.269793704222920496e+02 3.609508987648440126e+01 2.631090000000000018e+01
2.459255916030100081e+06 5.718971231000109583e+02 2.974349739918060109e+01 2.632720000000000127e+01
2.459262861145799980e+06 4.779601911155619973e+02 3.824294365116080030e+01 2.627400000000000091e+01
2.459264873391199857e+06 5.840722137958770190e+02 3.495381585296919980e+01 2.634969999999999857e+01
2.459266860185199883e+06 4.003172879977529988e+02 6.784170600875999924e+01 2.629990000000000094e+01
2.459268851585600059e+06 4.626975502183639719e+02 4.758511076472750290e+01 2.630870000000000175e+01
2.459270854849500116e+06 3.749029673631130208e+02 7.925358342726940464e+01 2.630310000000000059e+01
2.459272941898100078e+06 4.908962551006119952e+02 1.165613939551400051e+02 2.628640000000000043e+01
2.459275882806750014e+06 4.636157900831615279e+02 5.454218961757944584e+01 2.632460000000000022e+01
2.459278924536999781e+06 4.296992077944240123e+02 4.403534555774930226e+01 2.630150000000000077e+01
2.459281787835599855e+06 3.391812209465570049e+02 3.691979774920439894e+01 2.623770000000000024e+01
2.459291850416699890e+06 3.103753921596110104e+02 2.963010195226859977e+01 2.632460000000000022e+01
2.459293753831000067e+06 2.503061599803060062e+02 3.861419385922639691e+01 2.629789999999999850e+01
2.459296857743099798e+06 2.856030434558949764e+02 5.611930807446489666e+01 2.623410000000000153e+01
2.459298878506899811e+06 2.515286913120280019e+02 7.123541067859649445e+01 2.616900000000000048e+01
2.459307753958300222e+06 2.423315475851939880e+02 3.304641545013799941e+01 2.628650000000000020e+01
2.459309777326399926e+06 2.401805857409549958e+02 3.578623180678179949e+01 2.630249999999999844e+01
2.459311812268500216e+06 2.050296181884199882e+02 3.177962086198199998e+01 2.628729999999999833e+01
