# #JD, Flux, Err, Zp
2.458367715966450050e+06 2.244105958448334803e+01 1.675451213726967836e+01 2.614775000000000205e+01
2.458368710162050091e+06 4.235470484938870328e+01 1.510852925295958649e+01 2.617719999999999914e+01
2.458369731626150198e+06 4.951376685603595007e+01 1.507431404132313268e+01 2.611305000000000121e+01
2.458370679670149926e+06 3.751627259984235252e+01 1.454270731221286006e+01 2.620799999999999841e+01
2.458371715717599727e+06 1.288497223375370204e+01 1.435922799190617205e+01 2.619115000000000038e+01
2.458372725451400038e+06 -1.329535140685089978e+01 1.967944489488460036e+01 2.617150000000000176e+01
2.458373709618050139e+06 6.271934633137544779e+01 1.812660848249609202e+01 2.620060000000000144e+01
2.458374715954850428e+06 4.844180173076135532e+01 2.012843177162803698e+01 2.617845000000000155e+01
2.458375725393500179e+06 2.822741861037630073e+01 1.775348614215043952e+01 2.614920000000000044e+01
2.458377707008100115e+06 2.495039366667869984e+01 1.966662659796142520e+01 2.613785000000000025e+01
2.458378661423650105e+06 2.724460577078449575e+01 1.796331531651856395e+01 2.621979999999999933e+01
2.458379673281250056e+06 -7.057732272743399093e+00 2.205551642284254399e+01 2.620694999999999908e+01
2.458380619560150430e+06 -6.863371492528000939e-01 2.251209185227484966e+01 2.623000000000000043e+01
2.458381696643499658e+06 -4.268541569760099463e+00 3.259689185103172804e+01 2.613564999999999827e+01
2.458382687853049953e+06 1.472542883836654859e+01 3.017188852207780414e+01 2.611325000000000074e+01
2.458383678987249732e+06 5.259582137053430273e+01 3.183566643399445439e+01 2.611019999999999897e+01
2.458384726377299987e+06 -3.393754522449832223e-03 4.143507545688736116e+01 2.591754999999999853e+01
2.458385622673650272e+06 1.212624144533459436e+01 3.584006023011757947e+01 2.621164999999999878e+01
2.458386619780099951e+06 4.992661210602540223e+01 3.148777899411781789e+01 2.619395000000000095e+01
2.458387694849549793e+06 -2.930809733820325391e+01 5.041387715862456531e+01 2.612194999999999823e+01
2.458388627771999687e+06 -1.111349829738800032e+01 2.092603065153068087e+01 2.616969999999999885e+01
