mjd,m,em,f,ef,band,det,zp,f_counts,ef_counts
58276.46198,20.52562760473172,nan,-2.1946452713508835,4.474854860477691,ztfr,False,30,-604.4555,1232.47737
58277.4247,20.6684178661662,nan,5.498283451060463,3.9234023619400227,ztfr,False,30,1514.35301,1080.59474
58277.47036,20.922168045017614,nan,-0.48404204719244376,3.10572342435926,ztfg,False,30,-133.31625,855.38726
58278.42699,21.047699914336476,nan,-2.1360611022858977,2.7666232984808152,ztfg,False,30,-588.32008,761.99133
58278.46578,21.00686003371059,nan,-4.0522834165778505,2.872671608719538,ztfr,False,30,-1116.09153,791.19946
58279.42605,20.45004276518563,nan,-7.939771694883455,4.797476870379422,ztfr,False,30,-2186.79471,1321.33485
58279.42697,20.500919515012274,nan,-6.036612529616271,4.577856655374449,ztfr,False,30,-1662.62115,1260.84642
58279.45823,21.06396796007209,nan,-3.156403783557761,2.7254788213127967,ztfg,False,30,-869.34579,750.6592
58280.4423,21.25249685924604,nan,3.402584174887721,2.291032510245839,ztfg,False,30,937.1495,631.00275
58280.46765,20.906487978415498,nan,2.9782199967846466,3.15090133563772,ztfr,False,30,820.2699,867.83029
58281.42512,21.402204731882087,nan,-1.0146150160344483,1.9959428544685465,ztfg,False,30,-279.44818,549.72831
58281.4753,20.953448158559397,nan,4.002307864499269,3.0175239949852304,ztfr,False,30,1102.32712,831.09512
58282.43084,21.356179623142953,nan,3.2335823053494934,2.082371189091407,ztfg,False,30,890.60252,573.53265
58282.43176,21.244499969988702,nan,2.965379741377702,2.307969193805727,ztfg,False,30,816.7334,635.6675
58282.46493,20.716761787257177,nan,-0.7072536850839815,3.7525395721398764,ztfr,False,30,-194.79384,1033.53522
58282.46586,20.67610582826235,nan,-5.054304852435765,3.8957193667306598,ztfr,False,30,-1392.07115,1072.97021
58283.45681,21.30075810635934,nan,-1.8409046764543333,2.191425713008015,ztfg,False,30,-507.02725,603.56876
58283.47671,20.590357922446028,nan,-2.5716298328513716,4.215866273533023,ztfr,False,30,-708.28567,1161.14599
58284.46574,20.185734989755407,nan,-1.1475088456414004,6.119782674391236,ztfr,False,30,-316.05018,1685.52811
