MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58991.581296,-24.591,18.250,0,10,c,0,1.92,256.72750,30.27150,1952.77,7448.88,2.55,2.26,-49.1,-0.425,19.70,21.82,02a58991o0239c
58993.477922,19.577,0.656,54,35,o,0,2.27,256.72750,30.27150,6191.96,9375.55,1.89,1.85,10.0,-0.393,17.97,19.02,01a58993o0462o
58993.482049,19.097,0.281,83,23,o,0,5.22,256.72750,30.27150,6212.35,9414.24,1.84,1.76,-4.3,-0.396,18.69,19.76,01a58993o0470o
58993.487667,19.564,0.274,54,15,o,0,12.07,256.72750,30.27150,6154.54,9337.15,1.86,1.81,-18.4,-0.398,19.30,20.49,01a58993o0482o
58993.503101,24.327,50.500,1,34,o,0,1.99,256.72750,30.27150,6140.06,9452.86,2.08,1.91,-8.0,-0.377,18.10,19.28,01a58993o0514o
58995.478047,19.534,0.163,56,9,c,0,3.47,256.72750,30.27150,9342.43,3057.58,2.59,2.35,-59.3,-0.395,19.77,21.71,02a58995o0515c
58995.488178,18.922,0.095,98,9,c,0,3.91,256.72750,30.27150,9322.04,3017.71,2.59,2.34,-55.1,-0.396,19.78,21.72,02a58995o0535c
58995.491119,18.910,0.101,99,10,c,0,2.07,256.72750,30.27150,9382.16,3098.35,2.57,2.33,-57.3,-0.400,19.77,21.74,02a58995o0541c
58995.496376,18.888,0.100,101,10,c,0,2.76,256.72750,30.27150,9402.14,2983.83,2.54,2.28,-58.4,-0.401,19.79,21.75,02a58995o0551c
58999.414842,17.596,0.038,332,13,o,0,6.11,256.72750,30.27150,1230.19,7511.87,2.03,1.97,-69.6,-0.455,19.59,20.74,02a58999o0366o
58999.431890,17.458,0.037,378,14,o,0,27.93,256.72750,30.27150,1250.58,7553.13,2.05,1.99,-52.4,-0.459,19.56,20.76,02a58999o0397o
58999.443868,17.520,0.033,356,12,o,0,12.27,256.72750,30.27150,1196.86,7473.08,1.94,1.91,-13.3,-0.458,19.62,20.82,02a58999o0420o
58999.446178,17.512,0.037,359,14,o,0,3.34,256.72750,30.27150,1177.13,7591.91,2.03,2.01,83.0,-0.457,19.57,20.82,02a58999o0425o
59000.467901,17.646,0.047,317,15,o,0,4.99,256.72750,30.27150,9343.21,3057.62,2.07,1.81,-51.9,-0.449,19.48,20.35,02a59000o0481o
59000.471221,17.480,0.032,370,12,o,0,4.13,256.72750,30.27150,9323.06,3021.08,1.98,1.90,-8.9,-0.437,19.51,20.41,02a59000o0488o
59000.476850,17.512,0.041,359,15,o,0,6.87,256.72750,30.27150,9382.44,3100.06,2.23,1.94,26.2,-0.418,19.46,20.47,02a59000o0500o
59000.479750,17.489,0.041,367,15,o,0,3.68,256.72750,30.27150,9402.93,2981.28,2.08,1.80,-55.6,-0.446,19.53,20.50,02a59000o0506o
59001.453508,17.536,0.058,351,20,o,0,26.92,256.72750,30.27150,10524.80,2953.88,2.27,2.13,-56.0,-0.365,19.49,20.43,01a59001o0394o
59001.462131,17.279,0.038,445,17,o,0,10.43,256.72750,30.27150,10488.25,2915.45,2.15,2.01,-17.6,-0.391,19.51,20.43,01a59001o0412o
59001.463972,17.295,0.031,438,14,o,0,9.89,256.72750,30.27150,611.80,3074.14,1.93,1.76,0.5,-0.394,19.52,20.48,01a59001o0416o
59001.467092,17.367,0.034,410,14,o,0,8.21,256.72750,30.27150,632.62,3113.13,1.99,1.84,-3.2,-0.399,19.51,20.48,01a59001o0422o
59001.497601,17.508,0.046,360,16,o,0,6.00,256.72750,30.27150,10479.19,3030.70,2.05,1.95,-52.4,-0.382,19.57,20.45,01a59001o0486o
59001.499538,17.464,0.031,375,12,o,0,12.26,256.72750,30.27150,583.72,3030.87,1.96,1.82,-3.0,-0.392,19.48,20.52,01a59001o0490o
59001.509611,17.328,0.023,425,10,o,0,26.48,256.72750,30.27150,565.64,3145.78,1.79,1.74,-18.3,-0.406,19.62,20.58,01a59001o0511o
59003.442764,17.419,0.051,391,20,o,0,2.02,256.72750,30.27150,1249.80,2965.29,2.24,2.11,-55.2,-0.440,19.07,19.73,02a59003o0439o
59003.448106,17.347,0.041,418,17,o,0,2.95,256.72750,30.27150,1229.35,2926.26,2.12,1.98,-54.8,-0.445,19.12,19.73,02a59003o0450o
59003.451674,17.255,0.041,455,19,o,0,2.54,256.72750,30.27150,1289.68,3004.34,2.07,1.99,-55.5,-0.450,19.12,19.73,02a59003o0457o
59003.461648,17.522,0.054,356,19,o,0,1.57,256.72750,30.27150,1309.71,2889.17,2.23,2.16,-75.5,-0.443,19.02,19.72,02a59003o0475o
59005.377501,17.275,0.051,447,23,o,0,2.58,256.72750,30.27150,9904.63,7513.70,2.03,1.83,28.9,-0.413,18.88,19.00,01a59005o0300o
59005.384955,17.392,0.051,401,21,o,0,2.76,256.72750,30.27150,9886.39,7475.41,2.10,1.89,27.9,-0.404,18.82,19.01,01a59005o0316o
59005.386795,17.323,0.054,427,23,o,0,2.04,256.72750,30.27150,9944.93,7553.89,2.07,1.84,26.1,-0.422,18.86,19.01,01a59005o0320o
59005.411035,-14.125,0.002,-8126,13,o,0,3348.00,256.72750,30.27150,31.47,7607.20,1.84,1.69,-59.1,-0.459,18.86,19.05,01a59005o0368o
