MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58965.505667,-20.285,0.714,-28,20,o,0,1.41,263.14051,15.73588,265.51,1139.05,2.24,1.91,-2.1,-0.441,19.28,20.90,01a58965o0548o
58965.506587,-18.418,0.145,-156,23,o,0,1.57,263.14051,15.73588,10488.62,1229.46,2.41,1.93,-18.4,-0.416,19.16,20.76,01a58965o0550o
58965.511709,-18.396,0.118,-159,19,o,0,1.76,263.14051,15.73588,10509.97,1113.41,2.48,2.19,-42.7,-0.417,19.46,20.61,01a58965o0561o
58967.514034,20.737,0.441,18,8,c,0,1.69,263.14051,15.73588,3993.27,7222.21,2.47,2.41,53.6,-0.399,19.66,21.50,02a58967o0594c
58967.515971,-22.044,1.558,-6,9,c,0,1.46,263.14051,15.73588,4012.98,7261.68,2.46,2.41,47.1,-0.401,19.68,21.49,02a58967o0598c
58967.518716,-20.329,0.289,-27,8,c,0,2.14,263.14051,15.73588,3954.90,7184.53,2.50,2.43,34.5,-0.399,19.65,21.50,02a58967o0604c
58967.524031,-21.762,1.000,-7,7,c,0,1.96,263.14051,15.73588,3935.49,7301.12,2.33,2.32,30.5,-0.405,19.73,21.54,02a58967o0615c
58969.489403,20.423,0.365,25,9,o,0,2.66,263.14051,15.73588,2825.54,7501.51,1.96,1.83,-14.2,-0.406,19.58,20.83,01a58969o0558o
58969.491378,19.788,0.228,44,10,o,0,1.88,263.14051,15.73588,2806.40,7463.10,2.09,1.85,-5.7,-0.399,19.56,20.75,01a58969o0562o
58969.514834,20.457,0.398,24,10,o,0,2.29,263.14051,15.73588,2864.85,7542.96,2.05,1.84,-8.7,-0.399,19.55,20.71,01a58969o0608o
58969.517598,-20.707,0.446,-19,8,o,0,2.35,263.14051,15.73588,2884.10,7424.97,1.93,1.79,-22.0,-0.413,19.63,20.73,01a58969o0614o
58971.587093,21.281,0.833,11,9,c,0,1.24,263.14051,15.73588,2869.15,9460.12,2.39,2.29,-57.2,-0.417,19.63,21.67,02a58971o0728c
58971.590302,-20.133,0.283,-32,9,c,0,1.35,263.14051,15.73588,2850.09,9421.49,2.39,2.30,-54.7,-0.416,19.61,21.64,02a58971o0735c
58971.595717,21.801,1.373,7,10,c,0,1.28,263.14051,15.73588,2908.62,9499.95,2.39,2.30,-45.9,-0.421,19.62,21.66,02a58971o0745c
58971.612422,22.001,1.851,6,11,c,0,1.27,263.14051,15.73588,2919.84,9381.07,2.40,2.35,-83.5,-0.414,19.72,21.48,02a58971o0778c
58973.450573,-21.255,1.130,-11,13,o,0,0.99,263.14051,15.73588,2823.15,7500.90,1.77,1.63,-30.1,-0.424,19.32,19.86,01a58973o0408o
58973.452413,21.362,1.281,10,13,o,0,1.41,263.14051,15.73588,2803.30,7462.50,1.77,1.64,-29.1,-0.423,19.36,19.87,01a58973o0412o
58973.473283,-20.860,0.527,-16,9,o,0,2.68,263.14051,15.73588,2861.48,7540.41,1.75,1.63,-33.9,-0.426,19.39,19.92,01a58973o0456o
58973.476305,-22.452,2.754,-4,10,o,0,2.30,263.14051,15.73588,2881.38,7425.29,1.78,1.67,-30.7,-0.425,19.35,19.92,01a58973o0462o
58974.436747,21.499,2.108,9,19,o,0,0.99,263.14051,15.73588,7684.08,1100.75,2.08,1.94,-53.7,-0.446,18.86,19.32,02a58974o0448o
58974.438588,20.685,0.917,19,18,o,0,1.75,263.14051,15.73588,7703.23,1140.08,2.03,1.89,-57.9,-0.450,18.92,19.34,02a58974o0452o
58974.442264,-20.521,0.865,-22,19,o,0,1.31,263.14051,15.73588,7645.37,1062.21,2.00,1.87,-59.7,-0.453,18.97,19.36,02a58974o0460o
58974.447312,20.497,0.753,23,17,o,0,1.54,263.14051,15.73588,7625.15,1180.12,2.02,1.92,-59.8,-0.449,18.94,19.39,02a58974o0471o
58975.454105,20.853,1.526,16,25,o,0,0.68,263.14051,15.73588,7693.53,1103.31,2.13,1.83,-48.6,-0.461,18.73,19.03,02a58975o0468o
58975.459001,-22.026,3.879,-6,22,o,0,1.12,263.14051,15.73588,7711.34,1141.43,2.16,1.82,-50.7,-0.459,18.75,19.10,02a58975o0478o
58975.461752,-19.822,0.476,-43,20,o,0,1.13,263.14051,15.73588,7653.60,1063.49,2.11,1.79,-52.8,-0.466,18.76,19.11,02a58975o0484o
58975.470698,21.941,3.221,6,20,o,0,1.52,263.14051,15.73588,7635.30,1183.09,2.03,1.81,-52.2,-0.451,18.82,19.12,02a58975o0503o
58976.465416,-19.702,0.611,-48,29,o,0,1.02,263.14051,15.73588,3253.36,5087.31,1.91,1.87,-74.9,-0.438,18.39,18.25,01a58976o0499o
58976.467308,-20.168,0.908,-31,28,o,0,1.48,263.14051,15.73588,3234.02,5048.55,1.83,1.74,-69.2,-0.442,18.48,18.27,01a58976o0503o
58976.470069,-19.923,0.762,-39,30,o,0,1.02,263.14051,15.73588,3293.68,5125.70,1.82,1.78,-47.8,-0.438,18.47,18.27,01a58976o0509o
58976.478895,20.640,1.444,20,29,o,0,0.98,263.14051,15.73588,3311.02,5008.14,1.81,1.78,-21.0,-0.435,18.42,18.26,01a58976o0527o
58977.581198,-20.736,1.200,-18,22,o,0,1.07,263.14051,15.73588,7304.42,5460.91,1.87,1.81,-79.2,-0.414,18.78,18.71,01a58977o0459o
58977.585481,-22.580,4.976,-3,17,o,0,2.00,263.14051,15.73588,7325.41,5499.92,1.96,1.83,-79.6,-0.418,18.78,18.85,01a58977o0468o
58977.595411,-20.347,0.845,-26,22,o,0,0.82,263.14051,15.73588,7268.58,5421.61,1.96,1.83,-82.3,-0.417,18.71,18.68,01a58977o0488o
58977.611096,-22.732,6.605,-3,19,o,0,1.61,263.14051,15.73588,7251.25,5537.64,1.98,1.72,-82.6,-0.433,18.73,18.64,01a58977o0518o
58977.622007,21.173,1.847,12,23,o,0,1.45,263.14051,15.73588,7294.11,5478.31,1.87,1.81,-67.0,-0.417,18.62,18.43,01a58977o0539o
58979.546931,-22.272,4.238,-4,19,o,0,1.07,263.14051,15.73588,274.28,3167.84,2.45,1.85,-55.5,-0.416,18.99,19.46,02a58979o0562o
58979.550177,19.931,0.448,39,17,o,0,1.58,263.14051,15.73588,255.14,3129.07,2.43,1.83,-58.0,-0.433,18.99,19.47,02a58979o0569o
58979.568853,-20.406,0.748,-25,19,o,0,1.45,263.14051,15.73588,316.61,3209.25,2.48,1.84,-57.9,-0.419,18.96,19.44,02a58979o0608o
58979.571138,-20.015,0.806,-36,29,o,0,1.04,263.14051,15.73588,10491.52,3168.85,2.55,1.85,-56.6,-0.483,18.99,19.45,02a58979o0613o
58979.574504,19.271,0.288,71,20,o,0,1.69,263.14051,15.73588,10473.17,3130.10,2.53,1.80,-57.2,-0.471,18.96,19.38,02a58979o0620o
58979.575418,22.048,3.942,6,22,o,0,1.08,263.14051,15.73588,337.54,3090.89,2.37,1.78,-55.5,-0.444,18.92,19.32,02a58979o0622o
58981.450493,-23.340,9.158,-2,15,o,0,1.20,263.14051,15.73588,3256.14,5085.69,1.94,1.85,-66.6,-0.427,19.22,19.94,01a58981o0369o
58981.452335,21.725,1.885,7,14,o,0,1.01,263.14051,15.73588,3236.50,5046.60,1.91,1.84,-22.7,-0.419,19.20,19.81,01a58981o0373o
58981.455167,19.701,0.315,48,15,o,0,1.58,263.14051,15.73588,3295.54,5125.15,1.88,1.84,-46.2,-0.425,19.19,19.75,01a58981o0379o
58981.460248,20.256,0.536,29,15,o,0,1.43,263.14051,15.73588,3313.95,5008.10,1.85,1.79,-17.8,-0.422,19.27,20.40,01a58981o0390o
58983.477751,22.395,3.109,4,12,o,0,2.42,263.14051,15.73588,77.12,7398.25,2.29,1.58,-53.6,-0.429,19.56,20.65,02a58983o0485o
58983.479580,20.662,0.520,20,10,o,0,2.38,263.14051,15.73588,96.24,7437.36,2.31,1.59,-53.3,-0.429,19.59,20.65,02a58983o0489o
58983.484637,20.356,0.578,26,15,o,0,1.06,263.14051,15.73588,37.88,7359.22,2.30,1.59,-52.4,-0.443,19.56,20.59,02a58983o0500o
58983.536894,21.633,1.269,8,10,o,0,1.69,263.14051,15.73588,275.96,3166.87,2.37,1.80,-55.8,-0.437,19.59,20.60,02a58983o0604o
58983.565576,-20.858,0.722,-16,12,o,0,1.34,263.14051,15.73588,255.21,3128.46,2.30,1.80,-56.5,-0.451,19.53,20.53,02a58983o0662o
58985.470534,20.227,0.330,30,10,o,0,1.20,263.14051,15.73588,2573.16,1600.85,2.11,2.05,22.9,-0.411,19.69,21.32,01a58985o0493o
58985.472374,19.843,0.237,42,10,o,0,1.44,263.14051,15.73588,2553.33,1562.31,2.00,1.94,62.1,-0.418,19.80,21.31,01a58985o0497o
58985.475596,20.055,0.265,34,9,o,0,1.73,263.14051,15.73588,2612.86,1640.48,2.23,2.18,19.6,-0.411,19.65,21.30,01a58985o0504o
58985.481119,19.661,0.192,50,10,o,0,1.76,263.14051,15.73588,2630.99,1524.03,2.06,1.99,40.6,-0.418,19.78,21.31,01a58985o0516o
58987.511733,19.673,0.194,49,10,c,0,1.16,263.14051,15.73588,7147.86,9742.87,2.69,2.54,-48.0,-0.407,19.73,21.73,02a58987o0598c
58987.519610,20.569,0.368,22,8,c,0,1.46,263.14051,15.73588,7126.58,9700.58,2.65,2.60,-66.5,-0.405,19.75,21.72,02a58987o0613c
58987.525021,20.301,0.297,28,8,c,0,1.35,263.14051,15.73588,7186.21,9784.63,2.68,2.57,-67.4,-0.403,19.75,21.71,02a58987o0624c
58987.536180,19.878,0.198,41,8,c,0,1.49,263.14051,15.73588,7203.94,9666.45,2.69,2.61,-61.6,-0.401,19.77,21.72,02a58987o0645c
58987.550148,20.489,0.403,23,9,c,0,0.83,263.14051,15.73588,7165.89,9729.28,2.73,2.62,-51.0,-0.402,19.72,21.68,02a58987o0671c
58989.439801,19.553,0.210,55,12,o,0,0.86,263.14051,15.73588,2573.35,1593.75,2.25,1.84,-7.8,-0.404,19.59,21.37,01a58989o0432o
58989.444971,19.116,0.124,82,10,o,0,1.88,263.14051,15.73588,2552.61,1556.02,2.09,1.72,-15.8,-0.412,19.70,21.24,01a58989o0443o
58989.448311,19.274,0.171,71,12,o,0,1.05,263.14051,15.73588,2611.85,1635.13,2.05,1.88,-9.3,-0.408,19.70,21.09,01a58989o0450o
58989.453475,19.112,0.100,82,8,o,0,1.67,263.14051,15.73588,2630.30,1518.24,2.09,1.86,-9.4,-0.402,19.74,21.16,01a58989o0461o
58991.538713,19.557,0.163,55,9,c,0,1.56,263.14051,15.73588,7137.03,9747.78,2.66,2.54,-79.2,-0.401,19.76,21.73,02a58991o0149c
58991.541914,19.110,0.115,82,10,c,0,1.15,263.14051,15.73588,7117.80,9708.34,2.69,2.56,-74.5,-0.399,19.77,21.76,02a58991o0156c
58991.549246,19.504,0.158,57,9,c,0,1.28,263.14051,15.73588,7175.21,9789.32,2.69,2.61,-63.7,-0.399,19.78,21.73,02a58991o0172c
58991.569500,19.200,0.138,76,10,c,0,0.92,263.14051,15.73588,7195.74,9669.58,2.81,2.51,-52.2,-0.406,19.78,21.78,02a58991o0215c
58991.620273,18.936,0.365,97,35,c,0,1.09,263.14051,15.73588,7159.83,9726.55,2.72,2.66,-58.0,-0.402,18.56,19.31,02a58991o0317c
58993.486278,19.458,0.182,60,11,o,0,1.64,263.14051,15.73588,7867.93,7003.85,1.99,1.97,-48.8,-0.407,19.41,20.58,01a58993o0479o
58993.490433,19.580,0.257,54,14,o,0,1.13,263.14051,15.73588,7889.24,7041.63,2.06,2.01,-41.9,-0.403,19.33,20.56,01a58993o0488o
58993.497025,19.941,0.470,38,18,o,0,1.93,263.14051,15.73588,7831.98,6964.58,1.99,1.97,-29.7,-0.409,18.74,19.90,01a58993o0501o
58993.508090,19.221,0.148,74,11,o,0,2.10,263.14051,15.73588,7816.48,7079.67,1.95,1.93,45.6,-0.415,19.46,20.66,01a58993o0524o
58995.490532,19.023,0.103,89,9,c,0,1.21,263.14051,15.73588,7445.86,5371.27,2.47,2.41,67.2,-0.401,19.78,21.68,02a58995o0540c
58995.494204,19.080,0.108,85,9,c,0,1.18,263.14051,15.73588,7426.87,5332.13,2.48,2.42,60.1,-0.399,19.75,21.67,02a58995o0547c
