MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59312.480656,19.840,0.252,42,11,c,0,0.59,185.46033,4.48168,5323.43,4513.21,2.37,2.24,-78.6,-0.368,19.90,21.65,01a59312o0566c
59322.423427,19.697,0.300,48,14,o,0,1.39,185.46033,4.48168,5345.66,10037.65,2.20,2.07,-72.3,-0.438,19.60,20.82,02a59322o0433o
59322.426635,21.885,2.463,6,16,o,0,0.99,185.46033,4.48168,5326.66,9998.63,2.17,2.07,-89.6,-0.445,19.54,20.78,02a59322o0440o
59322.461971,19.482,0.246,58,14,o,0,1.41,185.46033,4.48168,5379.01,10079.47,2.18,2.08,-74.5,-0.437,19.55,20.77,02a59322o0516o
59322.468500,19.975,0.386,37,14,o,0,1.65,185.46033,4.48168,5399.80,9961.68,2.17,2.11,-79.2,-0.432,19.52,20.70,02a59322o0530o
59324.422547,19.593,0.227,53,12,o,0,1.34,185.46033,4.48168,7104.66,440.44,1.88,1.80,-76.5,-0.437,19.66,20.54,01a59324o0345o
59324.427735,20.458,0.511,24,12,o,0,1.37,185.46033,4.48168,7124.27,477.27,1.92,1.80,-64.6,-0.438,19.71,20.54,01a59324o0356o
59324.445469,20.024,0.351,36,12,o,0,0.93,185.46033,4.48168,7049.09,517.27,1.99,1.83,-75.5,-0.441,19.62,20.55,01a59324o0393o
59326.314535,-21.265,2.009,-11,23,o,0,0.89,185.46033,4.48168,5228.56,525.44,2.03,1.88,-71.1,-0.444,19.04,19.54,02a59326o0178o
59326.317737,19.392,0.329,64,21,o,0,0.86,185.46033,4.48168,5250.81,562.89,1.94,1.80,-59.8,-0.464,19.05,19.56,02a59326o0185o
59326.323284,20.166,0.730,31,23,o,0,0.93,185.46033,4.48168,5192.15,486.97,2.11,1.94,-58.7,-0.457,19.05,19.61,02a59326o0197o
59326.331981,19.631,0.323,51,16,o,0,1.08,185.46033,4.48168,5176.58,601.02,1.90,1.76,-61.1,-0.452,19.14,19.65,02a59326o0216o
59332.423186,19.890,0.431,40,17,o,0,1.52,185.46033,4.48168,7212.01,2386.02,2.03,1.88,-76.2,-0.426,18.98,19.11,01a59332o0338o
59332.426409,20.465,0.811,24,19,o,0,1.50,185.46033,4.48168,7231.23,2424.56,2.07,1.85,-82.2,-0.424,18.98,19.10,01a59332o0345o
59332.432470,20.787,1.041,18,18,o,0,1.16,185.46033,4.48168,7174.59,2345.95,2.04,1.86,-73.4,-0.412,18.99,19.07,01a59332o0358o
59332.443543,21.126,1.503,13,19,o,0,0.87,185.46033,4.48168,7154.86,2462.24,2.07,1.91,-69.6,-0.415,18.93,19.02,01a59332o0382o
59334.373074,19.998,0.387,36,14,o,0,1.66,185.46033,4.48168,520.90,3727.16,2.09,1.92,-55.0,-0.431,19.33,20.12,02a59334o0259o
59334.376275,19.901,0.316,40,12,o,0,1.43,185.46033,4.48168,501.12,3686.83,2.08,1.89,-55.6,-0.439,19.31,20.09,02a59334o0266o
59334.402904,20.418,0.891,25,22,o,0,0.59,185.46033,4.48168,555.51,3765.27,2.10,1.87,-57.4,-0.436,19.25,20.00,02a59334o0323o
59334.409821,19.719,0.370,47,17,o,0,1.27,185.46033,4.48168,577.77,3648.40,2.09,1.88,-56.5,-0.434,19.23,19.95,02a59334o0338o
59336.416733,19.627,0.296,51,15,o,0,1.25,185.46033,4.48168,5283.96,2499.32,2.90,2.79,-65.9,-0.396,19.29,20.80,01a59336o0416o
59336.419958,22.747,4.900,3,14,o,0,1.14,185.46033,4.48168,5303.38,2537.97,2.71,2.55,-88.9,-0.388,19.34,20.75,01a59336o0423o
59336.425486,19.506,0.285,57,16,o,0,1.13,185.46033,4.48168,5245.95,2460.04,2.81,2.63,-75.9,-0.415,19.25,20.65,01a59336o0435o
59336.436541,20.141,0.607,32,19,o,0,1.35,185.46033,4.48168,5227.88,2576.65,3.59,3.44,-70.6,-0.405,18.88,20.39,01a59336o0459o
59338.453891,20.117,0.442,33,14,c,0,1.09,185.46033,4.48168,1456.91,10238.56,2.41,2.15,-51.7,-0.432,19.32,20.90,02a59338o0412c
59338.462883,20.043,0.479,35,17,c,0,1.03,185.46033,4.48168,1439.00,10200.62,2.43,2.15,-49.6,-0.437,19.24,20.79,02a59338o0431c
59338.464278,-21.056,12.634,-14,174,c,0,0.05,185.46033,4.48168,6707.82,31.75,2.45,2.10,-57.5,-0.428,19.18,20.77,02a59338o0434c
59338.481611,21.174,1.375,12,17,c,0,1.04,185.46033,4.48168,1496.75,10275.23,2.43,2.17,-47.9,-0.433,19.14,20.63,02a59338o0471c
59338.487445,19.962,0.483,38,18,c,0,1.42,185.46033,4.48168,6745.50,70.06,2.44,2.11,-58.3,-0.418,19.13,20.63,02a59338o0483c
59338.490670,20.153,0.520,32,16,c,0,1.30,185.46033,4.48168,1515.03,10157.04,2.39,2.17,-49.8,-0.426,19.00,20.41,02a59338o0490c
59339.491591,17.548,0.590,347,205,c,0,3.47,185.46033,4.48168,6701.21,30.19,2.68,2.16,-53.7,-0.432,17.45,18.81,02a59339o0238c
59339.504279,-20.971,1.478,-15,22,c,0,1.09,185.46033,4.48168,6746.10,65.42,2.50,2.11,-55.0,-0.433,18.95,20.43,02a59339o0265c
59342.362994,19.894,0.292,40,12,c,0,1.34,185.46033,4.48168,1458.93,10243.35,2.46,2.23,-52.7,-0.420,19.72,21.55,02a59342o0275c
