index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
53,473,6,1,ZTF_g,1154336422115,0,2.4231,128.821,4.87243,26.1995,5.96033e-05,0.0611628,-0.0986709,9.41859e-05,336,30.0,0.205639,0.074286,20.4716,26.1995,1,2458908.8364236,473120121,-7.33991203463611,29.471967008482448,-0.283623616614704,1.04812170217354,-33.0339583122053,48.7671481191161,-0.681943587121668,1.05724153269657,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-158.37018861708063,131.23933741540012,,-0.8997056193221733,True,19.156914916388985,19.156914916388985,
54,473,6,1,ZTF_g,1154337312115,0,2.5706,128.128,4.92339,26.2135,5.27855e-05,0.0574138,-0.11008,8.50353e-05,334,30.0,0.213288,0.077031,20.426,26.2135,3,2458908.8373148,473120121,-10.4004571728378,31.91540266347935,-0.359971330561049,0.98610241116918,-19.897921886951,53.1077860548773,-0.377193948830503,1.05823414300749,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-161.43073375528232,142.1200117961316,,-0.9558260265419324,True,19.084436901999315,19.084436901999315,
57,473,6,1,ZTF_g,1155276032115,8,5.5653,121.546,5.69444,26.1744,7.15042e-05,0.0501462,-0.0580831,0.00015251,179,30.0,0.201059,0.113586,19.534,26.1744,3,2458909.7760301,473120121,8.22852625388416,65.16681390322722,0.139369737909277,0.984546477507526,-44.5315504051753,74.587037006322,-0.601062527198565,1.37410112460747,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-142.80175032856036,290.18930007863776,,-2.2062651358998457,True,18.270271501663018,18.270271501663018,
58,473,6,1,ZTF_g,1157397592115,0,3.1965,127.988,5.17515,26.2124,4.12795e-05,0.0495584,-0.0870027,7.19812e-05,308,30.0,0.207971,0.07944,20.1972,26.2124,3,2458911.8975926,473120121,-33.0959679291187,36.21972174583202,-0.980549809568211,0.930614386816119,-45.4339205779517,54.4731000693822,-0.839679045048325,1.08451211034056,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-184.12624451156321,161.28724227755288,,-0.9510298730376929,True,18.94597494836244,18.94597494836244,
59,473,6,1,ZTF_g,1157398492115,0,2.9659,128.587,5.16378,26.2047,4.19185e-05,0.0501896,-0.085149,7.23062e-05,312,30.0,0.198827,0.072886,20.2462,26.2047,1,2458911.8984954,473120121,-30.2624336196769,34.966473277972675,-0.945550209899905,0.964618422600482,-4.7531732400524,53.6184573214465,-0.0892451289042131,1.0799126355157,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-181.2927102021214,155.70649843064956,,-0.9324729337306695,True,18.976508143454517,18.976508143454517,
71,473,6,1,ZTF_g,1182312912115,0,2.0423,124.903,4.97282,26.2193,4.74752e-05,0.0545116,-0.1276,7.51509e-05,334,30.0,0.177809,0.06032,20.6259,26.2193,1,2458936.8129167,473120121,-45.3016282838445,24.221020376486624,-2.06447005892452,0.984611311555204,-101.452720172713,46.2917164170454,-2.20635608237117,1.04443211129577,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-196.33190486628902,107.8567529890394,,-0.5964393652674566,True,19.389756634709062,19.389756634709062,
88,473,6,1,ZTF_g,1201296032115,0,2.6276,128.174,5.13597,26.2161,4.08987e-05,0.0507035,-0.10003,6.50413e-05,337,30.0,0.192928,0.068431,20.4009,26.2161,1,2458955.7960301,473120121,-62.5693335701704,30.798506415778302,-2.30867159349341,1.0436406084184,-83.068362635679,50.2155233253141,-1.6653781002259,1.05962129782319,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-213.5996101526149,137.14644747761005,,-0.6970981731663914,True,19.12571358291144,19.12571358291144,
89,473,6,1,ZTF_g,1201299252115,0,2.1056,128.714,5.12989,26.2409,4.74204e-05,0.0547317,-0.141947,7.43101e-05,339,30.0,0.173709,0.058918,20.5706,26.2409,3,2458955.7992593,473120121,-78.2540954101138,28.930402959297044,-3.13392191015921,1.08482966785154,-151.252201631781,51.0872100998345,-2.98060695846348,1.0451572089601,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-229.2843719925583,128.82774042349806,,-0.6100209820769269,True,19.218451515302625,19.218451515302625,
90,473,6,1,ZTF_g,1202246402115,0,1.6847,129.076,5.04811,26.2535,4.59018e-05,0.0534136,-0.120171,7.22364e-05,335,30.0,0.165607,0.057479,20.785,26.2535,3,2458956.7464005,473120121,-23.9311478770967,23.54664997286234,-1.15712970052728,1.04757632473903,-38.7788502684186,45.9489479554278,-0.849639214677653,1.03735258904681,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-174.9614244595412,104.8537662892126,,-0.6506561912824554,True,19.45461490241297,19.45461490241297,
92,473,6,1,ZTF_g,1208230682115,0,1.9307,128.383,5.06739,26.2058,4.71681e-05,0.0547338,-0.106506,7.33022e-05,341,30.0,0.16964,0.059517,20.6581,26.2058,1,2458962.7306829,473120121,-47.3645662733305,25.41212676591664,-2.06318076782307,0.990238611044691,-65.2173356316393,48.2562064541726,-1.36058308275318,1.04621479679882,0.914120007857437,19.8220002174377,0.096000000834465,4.85599994659424,0.340000003576279,2458230.815625,2458286.715914,0,-198.394842855775,113.16077675152033,,-0.619263351560196,True,19.324135189525663,19.324135189525663,
