index,field,ccdid,qid,filter,pid,infobitssci,sciinpseeing,scibckgnd,scisigpix,zpmaginpsci,zpmaginpsciunc,zpmaginpscirms,clrcoeff,clrcoeffunc,ncalmatches,exptime,adpctdif1,adpctdif2,diffmaglim,zpdiff,programid,jd,rfid,forcediffimflux,forcediffimfluxunc,forcediffimsnr,forcediffimchisq,forcediffimfluxap,forcediffimfluxuncap,forcediffimsnrap,aperturecorr,dnearestrefsrc,nearestrefmag,nearestrefmagunc,nearestrefchi,nearestrefsharp,refjdstart,refjdend,procstatus,flux_corr,fluxerr_corr,mag,mag_err,islimit,lim,plot_mag,plot_err
29,586,1,3,ZTF_r,1213382630315,0,1.9675,127.985,5.71533,25.9846,2.2018e-06,0.0187903,0.0769645,6.52726e-06,1915,30.0,0.052304,0.052792,20.3632,25.9846,1,2458967.8826389,586120203,-41.1148844901483,24.74466155163735,-1.95471351042734,1.11846272357863,-131.134380550514,42.4317246632724,-3.11129418367942,1.05952576716994,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-69.6974430673028,37.43530379482092,,-0.5831420428263054,True,20.303971584502143,20.303971584502143,
31,586,1,3,ZTF_r,1216414780315,0,2.1064,135.052,5.3122,26.0541,1.4201e-06,0.0151511,0.0769562,4.20545e-06,1926,30.0,0.047473,0.04953,20.4621,26.0541,1,2458970.9147801,586120203,-14.911711342873,21.788712229412294,-0.789685591008487,1.07598687829981,-44.0988634041599,36.8823763652387,-1.20371505747807,1.06701269418119,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,-43.4942699200275,32.96335494037123,,-0.8228282604711996,True,20.51159647204469,20.51159647204469,
124,586,1,3,ZTF_r,1284229250315,0,1.845,139.376,7.10782,26.0878,1.697e-06,0.0166258,0.0772683,5.01562e-06,1922,30.0,0.04536,0.054978,20.2832,26.0878,1,2459038.7292593,586120203,140.927977228749,29.50845774267238,5.51801821737382,1.0788355382648,128.539044423752,50.1246109371285,2.58166118128559,1.06977412233913,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,112.3454186515945,44.64227881267914,20.961411582586983,0.43142054824002246,True,20.21600910036035,20.21600910036035,
125,586,1,3,ZTF_r,1285307630315,0,2.0933,138.417,7.29791,26.075,1.753e-06,0.0167456,0.0765886,5.19577e-06,1914,30.0,0.046759,0.053505,20.1414,26.075,1,2459039.8076389,586120203,93.112271019775,32.895533534859844,3.2301729231512,1.05245121360877,57.4375067673475,55.3492237251532,1.0447183860649,1.07368386477193,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,64.5297124426205,49.76646331574951,21.550600675480343,0.8373111730499924,True,20.085233043067927,20.085233043067927,
127,586,1,3,ZTF_r,1287252890315,0,1.8715,128.272,5.81749,26.0011,2.6115e-06,0.0204837,0.0718002,7.73604e-06,1914,30.0,0.045793,0.06021,20.4263,26.0011,1,2459041.7528935,586120203,86.519179968723,24.880865209887972,4.21457265328944,1.18714469315879,47.3534429695851,41.247118805655,1.1557745731788,1.05500028711736,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,57.936621391568494,37.64136138481615,21.593717086335175,0.7053781369005113,True,20.3145116834607,20.3145116834607,
128,586,1,3,ZTF_r,1290249800315,0,1.9355,136.846,5.6309,26.0708,1.2672e-06,0.0142667,0.0746856,3.75575e-06,1917,30.0,0.048069,0.054441,20.4874,26.0708,1,2459044.7498032,586120203,126.030971509769,24.775097342988346,5.92643021828035,1.0968643439965,103.832150836227,41.7924752072385,2.50120304738441,1.06045791071834,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,97.4484129326145,37.48134900312101,21.098863073772787,0.41759018323703234,True,20.388836955841224,20.388836955841224,
131,586,1,3,ZTF_r,1293211500315,0,1.5793,137.058,5.61221,26.0694,2.8329e-06,0.0212416,0.0701119,8.39798e-06,1910,30.0,0.050692,0.061131,20.6058,26.0694,1,2459047.7115046,586120203,122.090508834023,24.43314676740055,6.13081539168928,1.21652734650966,71.8925018124561,39.8805292517406,1.81483805020798,1.07079715231849,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,93.5079502568685,36.96402434086084,21.14227865715285,0.42918106018396857,True,20.402526870270478,20.402526870270478,
135,586,1,3,ZTF_r,1296291450315,0,1.8596,136.311,5.96398,26.0658,1.6277e-06,0.0161366,0.0761335,4.84396e-06,1919,30.0,0.056367,0.067243,20.4633,26.0658,1,2459050.7914583,586120203,119.095344970436,24.275392947307527,5.88193931470061,1.16164770965776,87.7229648514412,40.597072946824,2.17537318965153,1.04976320232752,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,90.5127863932815,36.725364290180735,21.174025163373802,0.44052039052914255,True,20.405959708199546,20.405959708199546,
138,586,1,3,ZTF_r,1299311350315,0,1.7691,136.89,5.28758,26.0695,1.6331e-06,0.0161429,0.0790143,4.84756e-06,1917,30.0,0.050128,0.050112,20.6217,26.0695,1,2459053.8113542,586120203,78.4682576106874,22.186395489797075,4.24064457321978,1.16182208555994,-19.4152689096108,36.7088650637982,-0.532460805552084,1.05841763508183,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,49.8856990335329,33.56499556639281,21.82455984440753,0.7305002514234968,True,20.507358503772714,20.507358503772714,
139,586,1,3,ZTF_r,1302189070315,0,1.7554,136.159,6.5015,26.0659,1.8497e-06,0.0171895,0.0711285,5.48528e-06,1912,30.0,0.049389,0.054947,20.3727,26.0659,1,2459056.6890741,586120203,73.3424660567525,25.959259531314828,3.33722547258118,1.12754810959088,44.7570206944415,44.4005532699313,1.01481757513197,1.05679051435301,2.44231751376359,17.2039999008179,0.0670000016689301,5.26300001144409,0.398999989032745,2458186.977315,2458308.732083,0,44.759907479598,39.272825163335796,21.93867704961422,0.9526048796966063,True,20.333244628731897,20.333244628731897,
