# ZTF DR2 lightcurve of ZTF20abapyxl
# --------------- #
# mjd_max_init:   58995.43690 (phot: fclump)
# baseline_range: 58895.43690 => 59421.28618
# baseline_corr (applied): 
# field rcid filter  flux_offset err_scale n_obs
#  586   03   ztfg     -247.17     1.00      98
#  586   03   ztfr     -519.93     1.08     257
#  586   03   ztfi    -1126.04     1.00      48
#  1582  38   ztfg        0.00     1.00       0
#  1582  38   ztfr     -779.57     1.35       2
# --------------- #
mjd  filter  flux  flux_err  ZP  flag  mag  mag_err  mag_lim  field_id  rcid  flux_offset  err_scale  in_baseline  x_pos  y_pos  native_ZP  native_ZP_err  native_ZP_rms  chi2dof  filename  
 58281.27275        ztfg -1054.82864   614.59595    30.00000           0    99.00000    99.00000    21.28110         586           3  -247.17384     1.00000           1  1631.12652  1223.87867    26.07428     0.00000     0.01706     1.00149 ztf_20180612272755_000586_zg_c01_o_q4_sciimg.fits
 58281.31538        ztfr  1781.58932  1117.08201    30.00000          32    99.00000    99.00000    20.63236         586           3  -519.93452     1.07853           1  1637.98433  1236.38985    26.00075     0.00001     0.03100     1.00174 ztf_20180612315359_000586_zr_c01_o_q4_sciimg.fits
 58284.33271        ztfr   290.31067  1024.39738    30.00000           0    99.00000    99.00000    20.72640         586           3  -519.93452     1.07853           1  1643.37058  1185.48470    25.96425     0.00000     0.01613     1.00131 ztf_20180615332708_000586_zr_c01_o_q4_sciimg.fits
 58284.36058        ztfg  -310.83830   781.07162    30.00000           0    99.00000    99.00000    21.02085         586           3  -247.17384     1.00000           1  1645.41542  1190.62882    25.82382     0.00000     0.02558     1.00159 ztf_20180615360567_000586_zg_c01_o_q4_sciimg.fits
 58286.19624        ztfi -1943.97198  1850.90424    30.00000           0    99.00000    99.00000    20.08412         586           3 -1126.04243     1.00000           1  1625.37676  1186.90620    25.29219     0.00000     0.01997     1.00149 ztf_20180617196238_000586_zi_c01_o_q4_sciimg.fits
 58287.29421        ztfr    97.24219   754.80745    30.00000           0    99.00000    99.00000    21.05798         586           3  -519.93452     1.07853           1  1629.47493  1198.23410    26.01368     0.00000     0.01761     1.00141 ztf_20180618294190_000586_zr_c01_o_q4_sciimg.fits
 58287.33914        ztfg  1279.97790   571.52578    30.00000           0    99.00000    99.00000    21.35999         586           3  -247.17384     1.00000           1  1639.77215  1186.69993    26.09293     0.00000     0.01795     1.00176 ztf_20180618339144_000586_zg_c01_o_q4_sciimg.fits
 58290.23269        ztfg  2618.73821  1086.57748    30.00000         160    99.00000    99.00000    20.66242         586           3  -247.17384     1.00000           0  1625.74517  1115.91410    26.02977     0.00000     0.02346     1.00155 ztf_20180621232650_000586_zg_c01_o_q4_sciimg.fits
 58293.29484        ztfr     0.00000  1667.27547    30.00000         160    99.00000    99.00000    20.19756         586           3  -519.93452     1.07853           1  1634.86002  1102.09482    26.00952     0.00000     0.02415     1.00111 ztf_20180624294826_000586_zr_c01_o_q4_sciimg.fits
 58293.34095        ztfg  -136.26408  1295.98889    30.00000         128    99.00000    99.00000    20.47107         586           3  -247.17384     1.00000           1  1641.25070  1096.98879    26.08972     0.00000     0.02313     1.00126 ztf_20180624340914_000586_zg_c01_o_q4_sciimg.fits
