mjd,f,ef,band
58911.479131899774,-3.4777740984589327,5.331148176131603,ztfr
58911.479583300184,,,ztfr
58911.52494210005,-2.8067190059935734,4.134906366017472,ztfg
58913.48122690013,2.5973966477921424,4.647575037880169,ztfr
58914.478703700006,-2.59185497724417,6.945346010070813,ztfg
58914.50486110011,1.8825709368520915,3.9068777858839163,ztfr
58914.50578700006,3.5035720320724493,3.350828543411094,ztfr
58915.50759259984,,,ztfr
58936.43745370023,5.340328727253049,3.3933014521278966,ztfr
58936.4574190001,-0.19061172360255052,3.460426056221555,ztfr
58936.46327550011,-2.68507680570879,2.9534447832429342,ztfg
58936.46418979997,4.808388644798026,2.900165651246972,ztfg
58939.403402800206,-20.60106255547844,18.631324941810316,ztfr
58939.40587959997,-100.6278912381539,41.834087413438944,ztfr
58939.41557870014,16.011651806704805,55.655958509869066,ztfr
58939.436701400205,,,ztfr
58939.45686340006,-8.244405763781545,14.313014506890594,ztfg
58939.45777780004,9.638740262025097,13.9469600985794,ztfg
58939.45822919998,,,ztfg
58940.378692099825,-1.7783453659586392,4.861227715770951,ztfg
58940.41612270009,47.049039712960635,28.24873479901194,ztfr
58941.40193289984,3.3359725345633136,4.911245777947633,ztfr
58941.479004600085,-1.5628029036452669,3.3692406217920947,ztfg
58943.4088773001,,,ztfg
58943.40932870004,-0.047450100031356364,5.79555376248257,ztfg
58943.420844899956,-2.5131032106027416,5.226233124174274,ztfg
58944.39555560006,-4.035683548007584,8.136327718745381,ztfr
58954.31653939979,-1.2070425624729524,6.38191997078311,ztfi
58954.333483799826,-11.079770020934381,5.831801824246232,ztfi
58954.347326400224,-7.160690820645478,5.60675564087687,ztfi
58954.37259260006,2.2172015424876323,5.472264975120614,ztfi
58954.378043999895,-3.1285239883467,3.8921178874079825,ztfg
58954.44120369991,4.472685023705789,5.666917453291611,ztfr
58954.4574190001,-7.118138845618168,6.936869572273629,ztfr
58954.478784699924,4.549454900892451,5.6995985109587295,ztfr
58955.332638899796,-0.3539722041947556,3.0563569197461966,ztfg
