mjd,f,ef,band
58258.41182869999,24.452823089723555,10.182184753219213,ztfr
58258.412754599936,7.914699913870089,12.310571780702166,ztfr
58258.42141199997,20.064837365771407,13.365613805099793,ztfr
58259.29724540003,271.3329994458,269.66558362995033,ztfr
58259.395161999855,-12.646596277356924,14.342642146038099,ztfg
58261.33185190009,4.180553121890737,14.008432846343528,ztfr
58261.42462959979,4.433851604667369,5.482432211166031,ztfg
58261.42650459986,0.6646654647108512,3.265098273176166,ztfg
58262.37207179982,1.2610532632741371,9.389472190374677,ztfr
58262.406423599925,0.8196023026577263,7.301161411023058,ztfg
58262.45783559978,-6.845609980205049,5.070373521471527,ztfg
58263.29601849988,-4.415276823801537,8.443441729013683,ztfg
58263.37348379986,9.82537217845049,13.266487577169674,ztfr
58263.4001042,-2.9910641055718776,14.93294603597467,ztfr
58263.43659720011,17.98768504033653,11.706482275144234,ztfr
58263.45752310008,-3.547022365633269,5.04429231182,ztfg
58266.31594910007,-6.228896788660143,9.270840318574907,ztfr
58267.26917820005,-15.57443399070299,20.430300766954737,ztfi
58269.318993099965,-7.685177080548314,13.346925781586576,ztfg
58269.35789350001,8.830685295019647,13.629426698378,ztfr
58270.39040509984,-2.198534926364201,8.098326236653158,ztfr
58270.39086809987,2.9344335147931835,8.358854590159716,ztfr
58272.25609950023,0.06390958478685253,3.168619191129948,ztfg
58272.2570369998,-3.1860676936669923,3.314158297048872,ztfg
58272.27578700008,0.4567262099954667,4.9453213837026855,ztfr
58272.31031250022,-10.559953690978388,4.932246225119323,ztfr
58272.311249999795,-1.7375422211021685,5.561962207174582,ztfr
58272.3303704001,2.532810411596577,5.157233014412306,ztfr
58272.35987270018,-3.858884138496289,8.488760188641924,ztfi
58272.38120369986,-1.5412015554585174,4.980245401148969,ztfg
58272.416805599816,-11.256507320371737,4.64932336705105,ztfg
58273.271238400135,-5.082279997078418,2.832758426111568,ztfg
58273.28799769981,-4.048615325378258,3.7056543414073624,ztfg
58273.30582180014,0.8300418366546999,3.5855670885294977,ztfg
58273.3369907001,0.6608223703952587,4.992003451252032,ztfr
58273.36427079979,-1.4771174240329519,4.901728944500004,ztfr
58273.40746530006,6.470774188382872,4.648405579984184,ztfr
58273.4079167,-6.039092794271515,4.818729346496414,ztfr
58274.26995369978,1.318947351361407,2.5479665272216647,ztfg
58274.28932869993,2.4991310262997133,2.701508515523917,ztfg
58274.29652780015,-4.683109003478091,4.437547767496289,ztfr
58274.330868099816,-1.5588137609634638,3.6427889688999215,ztfr
58274.374027799815,26.335292478778413,7.164762425698065,ztfr
58274.3744907002,-5.100442476873563,6.629117737529078,ztfr
58274.383206000086,11.220883654167126,5.681751595325535,ztfg
58274.41377309989,-0.8520899014302916,4.239101812014941,ztfg
58275.27631939994,0.40452185134964896,2.682443329175743,ztfg
58275.381817100104,-3.779324617572859,4.4044507761114815,ztfr
58276.31105320016,-7.411218355463937,3.4460636131695686,ztfr
58276.33041669987,-2.9097383373367562,3.530069898593028,ztfr
58276.34496530006,-2.5262913449635565,2.7421606725596295,ztfg
58276.360671299975,3.6574834864127035,2.8137742681885025,ztfg
58276.38072919985,-4.6086709923683955,3.036434603016111,ztfg
58277.289236099925,-9.104667519095266,3.702890388631686,ztfr
58277.310914400034,-9.664728098348379,6.884782610025624,ztfi
58277.31707180012,-1.7199375627303837,3.2810293880872257,ztfg
58277.338784699794,-2.023801364122161,2.8300518940456505,ztfg
58277.35792820016,-2.741673453727655,3.0068770924969903,ztfg
58277.38068290008,-3.5746242475304792,4.989454124631018,ztfr
58277.4112383998,5.884211406252951,4.312314821978666,ztfr
58278.27662040014,-2.8317885294707543,4.835981502764489,ztfr
58278.29644680023,-2.7412599657389394,3.682925012321081,ztfr
58278.2973842998,4.8104069938637375,4.504573746546734,ztfr
58278.31760419998,-4.836196120626383,3.9016825869258174,ztfr
58278.33834489994,-2.1168764348356333,2.6261670495383074,ztfg
58278.359259299934,1.579656820464477,2.8556362659796246,ztfg
58278.36019679997,-3.5031602857854294,2.5398418514238386,ztfg
58278.39182869997,-0.5105846198889628,2.87787984813089,ztfg
58279.281134299934,-9.544661753104087,4.476372208426041,ztfr
58279.33358799992,-1.8693098606362848,3.1829916152498887,ztfg
