mjd,f,ef,band
59176.516423599795,93.66742940948843,20.22867359993758,ztfg
59176.56158560002,232.47437162352753,36.412945382750074,ztfr
59180.50350689981,65.60619096690534,38.0510993727731,ztfg
59180.5613425998,215.69192421862905,39.25872083198395,ztfr
59184.50668979995,203.62886403187744,30.90839795366753,ztfr
59186.54259259999,88.38901715732968,52.71818070851305,ztfg
59188.51071760012,196.43056918620337,24.212242398859857,ztfr
59188.54197920021,98.9126870571717,24.80309311389014,ztfg
59189.52982639987,126.84952463506117,39.9627553216308,ztfi
59194.516099500004,174.2290991570516,18.436523794575358,ztfr
59194.549050900154,79.12997880869956,15.406700426425743,ztfg
59198.48471060023,160.16453949672035,25.737310931084814,ztfr
59198.525879600085,81.23974205081313,16.518560087865094,ztfg
59200.448437499814,93.60730143137725,52.07087960955093,ztfg
59200.5254861,168.05909343203388,36.33193422105764,ztfr
59203.4991088002,133.06548334951125,22.60704102615312,ztfr
59203.54052079981,74.8336177508035,18.465968099483266,ztfg
59204.46641199989,84.42441523733976,14.096737535214782,ztfg
59204.49662039988,106.12900057022911,21.248630197054137,ztfi
59204.505671299994,156.82400419083874,16.266379737539,ztfr
59216.49826390017,80.02290128467526,42.92669542924027,ztfi
59216.51509260014,127.66956393673519,38.98668577733557,ztfr
59216.53569439985,62.670195284776234,37.77867591159962,ztfg
59221.44380789995,123.80370235406124,23.903636464811708,ztfr
59221.47340280004,76.26607712316145,30.549084697043014,ztfg
59222.48815969983,80.9502285146178,27.467483873608597,ztfi
59223.399687500205,65.9801898172021,22.356737107120864,ztfg
59223.46798609989,104.34154915520327,21.847578303230662,ztfr
59225.42212959984,72.10828058842465,46.92666761327741,ztfi
59225.46502309991,62.89002227496821,18.483677604097785,ztfg
59225.50393520016,90.66556705849462,90.2136030391486,ztfr
59227.378969899844,110.20168611002738,21.129604476736148,ztfr
59227.462256900035,63.83143491422897,14.659992123761908,ztfg
59228.52674769983,73.66086020225421,18.857868754127672,ztfi
59229.433379599825,98.04137870732984,27.404079488165298,ztfr
59231.4586920999,57.87719522669671,11.85616070518782,ztfg
59231.482580999844,101.24324522872926,14.874453580038876,ztfr
59231.50469909981,54.0002716017298,18.721741800039954,ztfi
59249.35986110009,62.25138290032016,77.52788534875151,ztfi
59249.41293979995,67.48608005222461,24.933832082851588,ztfr
59249.43638890004,42.11885894447725,30.247772596921347,ztfg
