# Template No.          11: sn04fc (IIP; +33) ; z= 0.042 +/- 0.002
#redshifted_wavelength[A] flux[arbitraty]
   4171.46924      0.988496006    
   4177.12061      0.976519585    
   4182.77930      0.954989552    
   4188.44580      0.930570066    
   4194.12012      0.910858095    
   4199.80176      0.902456939    
   4205.49121      0.909221232    
   4211.18848      0.931147337    
   4216.89355      0.964226007    
   4222.60645       1.00132287    
   4228.32715       1.03388870    
   4234.05518       1.05407012    
   4239.79102       1.05668032    
   4245.53467       1.04051912    
   4251.28613       1.00870156    
   4257.04541      0.967907429    
   4262.81250      0.926748216    
   4268.58740      0.893674493    
   4274.37012      0.874959409    
   4280.16064      0.873267591    
   4285.95898      0.887153685    
   4291.76514      0.911588430    
   4297.57959      0.939340770    
   4303.40137      0.962833524    
   4309.23096      0.975978613    
   4315.06934      0.975532234    
   4320.91504      0.961648822    
   4326.76855      0.937543213    
   4332.63037      0.908401668    
   4338.50000      0.879871964    
   4344.37744      0.856549859    
   4350.26270      0.840858042    
   4356.15576      0.832582176    
   4362.05713      0.829145074    
   4367.96680      0.826498568    
   4373.88428      0.820364892    
   4379.80957      0.807482302    
   4385.74268      0.786536157    
   4391.68408      0.758553267    
   4397.63379      0.726693094    
   4403.59131      0.695519269    
   4409.55664      0.669959188    
   4415.53076      0.654217064    
   4421.51270      0.650893867    
   4427.50244      0.660500228    
   4433.50049      0.681433916    
   4439.50684      0.710390210    
   4445.52100      0.743074238    
   4451.54395      0.775039136    
   4457.57422      0.802467048    
   4463.61279      0.822748423    
   4469.66016      0.834775507    
   4475.71484      0.838934541    
   4481.77832      0.836844146    
   4487.84961      0.830923021    
   4493.92920      0.823889852    
   4500.01807      0.818287909    
   4506.11328      0.816107452    
   4512.21826      0.818547785    
   4518.33105      0.825931489    
   4524.45215      0.837758362    
   4530.58154      0.852870524    
   4536.71924      0.869687855    
   4542.86475      0.886473238    
   4549.01953      0.901586413    
   4555.18213      0.913693070    
   4561.35303      0.921903133    
   4567.53271      0.925824702    
   4573.72021      0.925533652    
   4579.91650      0.921468437    
   4586.12109      0.914276421    
   4592.33398      0.904644907    
   4598.55518      0.893150687    
   4604.78516      0.880164504    
   4611.02295      0.865833163    
   4617.26953      0.850147128    
   4623.52490      0.833085120    
   4629.78857      0.814802766    
   4636.06055      0.795823574    
   4642.34131      0.777178466    
   4648.62988      0.760445535    
   4654.92773      0.747660279    
   4661.23389      0.741089642    
   4667.54834      0.742895067    
   4673.87207      0.754745781    
   4680.20361      0.777453423    
   4686.54395      0.810719609    
   4692.89258      0.853059173    
   4699.25000      0.901936591    
   4705.61621      0.954101801    
   4711.99121       1.00607109    
   4718.37451       1.05465448    
   4724.76709       1.09741855    
   4731.16748       1.13299000    
   4737.57666       1.16113198    
   4743.99512       1.18259299    
   4750.42188       1.19877458    
   4756.85742       1.21131241    
   4763.30127       1.22168493    
   4769.75488       1.23094118    
   4776.21582       1.23960328    
   4782.68652       1.24774122    
   4789.16553       1.25515854    
   4795.65381       1.26160288    
   4802.15039       1.26690853    
   4808.65625       1.27101469    
   4815.17041       1.27385831    
   4821.69385       1.27519596    
   4828.22559       1.27444851    
   4834.76660       1.27067041    
   4841.31592       1.26269507    
   4847.87500       1.24946010    
   4854.44238       1.23042226    
