# Template No.           5: sn1992H (IIP; +12) ; z= 0.037 +/- 0.007
#redshifted_wavelength[A] flux[arbitraty]
   4209.11035      0.606925309    
   4214.81201      0.610567033    
   4220.52197      0.614192486    
   4226.23975      0.617801547    
   4231.96484      0.621394098    
   4237.69824      0.624969363    
   4243.43896      0.628526330    
   4249.18799      0.632064223    
   4254.94434      0.635582268    
   4260.70850      0.639080465    
   4266.48047      0.642559409    
   4272.26025      0.646020114    
   4278.04834      0.649463654    
   4283.84375      0.652891040    
   4289.64648      0.656302631    
   4295.45850      0.659698069    
   4301.27783      0.663076162    
   4307.10449      0.666435599    
   4312.93945      0.669774890    
   4318.78271      0.673093319    
   4324.63330      0.676390886    
   4330.49170      0.679668665    
   4336.35840      0.682928264    
   4342.23291      0.686171651    
   4348.11523      0.689400494    
   4354.00586      0.692615390    
   4359.90430      0.695815921    
   4365.81055      0.699000776    
   4371.72510      0.702167988    
   4377.64746      0.705315471    
   4383.57812      0.708442092    
   4389.51660      0.711547911    
   4395.46338      0.714634180    
   4401.41797      0.717703223    
   4407.38037      0.720757902    
   4413.35156      0.723800778    
   4419.33008      0.726833045    
   4425.31689      0.729854584    
   4431.31250      0.732863843    
   4437.31543      0.735858083    
   4443.32666      0.738834500    
   4449.34668      0.741791189    
   4455.37402      0.744727492    
   4461.40967      0.747645020    
   4467.45361      0.750546753    
   4473.50537      0.753436685    
   4479.56641      0.756318688    
   4485.63428      0.759195149    
   4491.71143      0.762066782    
   4497.79639      0.764931500    
   4503.88965      0.767785847    
   4509.99121      0.770625472    
   4516.10059      0.773446918    
   4522.21875      0.776248455    
   4528.34521      0.779031634    
   4534.47998      0.781800270    
   4540.62305      0.784560442    
   4546.77441      0.787318289    
   4552.93359      0.790078282    
   4559.10205      0.792841971    
   4565.27832      0.795606971    
   4571.46289      0.798367798    
   4577.65576      0.801117361    
   4583.85742      0.803849518    
   4590.06689      0.806561291    
   4596.28516      0.809254467    
   4602.51221      0.811935246    
   4608.74707      0.814612806    
   4614.99072      0.817296386    
   4621.24268      0.819991887    
   4627.50293      0.822699308    
   4633.77197      0.825413346    
   4640.04932      0.828125715    
   4646.33545      0.830830574    
