# Template No.           1: sn90e (IIP; +19) ; z= 0.033 +/- 0.004
#redshifted_wavelength[A] flux[arbitraty]
   4082.25317      0.552952409    
   4087.78369      0.550252795    
   4093.32129      0.550840735    
   4098.86670      0.554636300    
   4104.41943      0.561047137    
   4109.97998      0.569122612    
   4115.54785      0.577744722    
   4121.12305      0.585828483    
   4126.70605      0.592506111    
   4132.29639      0.597275198    
   4137.89502      0.600089788    
   4143.50049      0.601375818    
   4149.11377      0.601960897    
   4154.73486      0.602916718    
   4160.36328      0.605334580    
   4165.99902      0.610072196    
   4171.64307      0.617527425    
   4177.29443      0.627496123    
   4182.95361      0.639160991    
   4188.62012      0.651230514    
   4194.29492      0.662208021    
   4199.97656      0.670733809    
   4205.66650      0.675915003    
   4211.36377      0.677555859    
   4217.06934      0.676217616    
   4222.78223      0.673080504    
   4228.50293      0.669636190    
   4234.23145      0.667288423    
   4239.96777      0.666967273    
   4245.71143      0.668868721    
   4251.46338      0.672396541    
   4257.22266      0.676330626    
   4262.99023      0.679179668    
   4268.76514      0.679621994    
   4274.54785      0.676906943    
   4280.33887      0.671099484    
   4286.13770      0.663089752    
   4291.94434      0.654358387    
   4297.75879      0.646559179    
   4303.58105      0.641036987    
   4309.41113      0.638420939    
   4315.24951      0.638417065    
   4321.09521      0.639869153    
   4326.94873      0.641081333    
   4332.81055      0.640321016    
   4338.68066      0.636365473    
   4344.55811      0.628939569    
   4350.44336      0.618919075    
   4356.33740      0.608233452    
   4362.23877      0.599485219    
   4368.14893      0.595377445    
   4374.06592      0.598091722    
   4379.99219      0.608773828    
   4385.92529      0.627254307    
   4391.86719      0.652067542    
   4397.81738      0.680759311    
   4403.77490      0.710399151    
   4409.74072      0.738167107    
   4415.71484      0.761873543    
   4421.69678      0.780296147    
   4427.68701      0.793271303    
   4433.68555      0.801540017    
   4439.69189      0.806410968    
   4445.70654      0.809339821    
   4451.72852      0.811533689    
   4457.75977      0.813672781    
   4463.79883      0.815802276    
   4469.84570      0.817398369    
   4475.90137      0.817573667    
   4481.96484      0.815355361    
   4488.03662      0.809964538    
   4494.11670      0.801032186    
   4500.20459      0.788713276    
   4506.30127      0.773686171    
   4512.40625      0.757050395    
