# Template No.           2: sn04fc (IIP; +50) ; z= 0.039 +/- 0.002
#redshifted_wavelength[A] flux[arbitraty]
   4387.33984      0.774472594    
   4393.28369      0.744252563    
   4399.23486      0.710881352    
   4405.19482      0.680220187    
   4411.16260      0.657868505    
   4417.13818      0.647928357    
   4423.12256      0.652090847    
   4429.11475      0.669258654    
   4435.11475      0.695782483    
   4441.12354      0.726259053    
   4447.13965      0.754702270    
   4453.16455      0.775819421    
   4459.19727      0.786103368    
   4465.23828      0.784500003    
   4471.28760      0.772513092    
   4477.34424      0.753744543    
   4483.41016      0.732997656    
   4489.48438      0.715170622    
   4495.56543      0.704203725    
   4501.65576      0.702320218    
   4507.75439      0.709717274    
   4513.86133      0.724743068    
   4519.97656      0.744479418    
   4526.09961      0.765553474    
   4532.23096      0.784957528    
   4538.37109      0.800677419    
   4544.51953      0.811990142    
   4550.67578      0.819393218    
   4556.84082      0.824226856    
   4563.01416      0.828122020    
   4569.19580      0.832442403    
   4575.38574      0.837869287    
   4581.58398      0.844223320    
   4587.79102      0.850539923    
   4594.00586      0.855347991    
   4600.22949      0.857051194    
   4606.46143      0.854303479    
   4612.70215      0.846292377    
   4618.95068      0.832888246    
   4625.20850      0.814668834    
   4631.47412      0.792857468    
   4637.74854      0.769227326    
   4644.03125      0.746004641    
   4650.32275      0.725771785    
   4656.62256      0.711342931    
   4662.93115      0.705568016    
   4669.24805      0.711034954    
   4675.57324      0.729678452    
   4681.90723      0.762351692    
   4688.25000      0.808465004    
   4694.60156      0.865811169    
   4700.96143      0.930675089    
   4707.32959      0.998264372    
   4713.70752       1.06341493    
   4720.09277       1.12144053    
   4726.48730       1.16893613    
   4732.89014       1.20434213    
   4739.30176       1.22811973    
   4745.72266       1.24249363    
   4752.15137       1.25082088    
   4758.58936       1.25675714    
   4765.03564       1.26343656    
   4771.49121       1.27287626    
   4777.95508       1.28574085    
   4784.42773       1.30148947    
   4790.90967       1.31880867    
   4797.39990       1.33615124    
   4803.89893       1.35218525    
   4810.40674       1.36599517    
   4816.92383       1.37699652    
   4823.44971       1.38463461    
   4829.98340       1.38803649    
   4836.52686       1.38582289    
   4843.07910       1.37622690    
   4849.64014       1.35756600    
   4856.20996       1.32895410    
   4862.78857       1.29102004    
   4869.37695       1.24634421    
   4875.97314       1.19936633    
   4882.57861       1.15566516    
   4889.19336       1.12070930    
   4895.81689       1.09838212    
   4902.44922       1.08971393    
   4909.09082       1.09225214    
   4915.74121       1.10037088    
   4922.40039       1.10656095    
   4929.06885       1.10344243    
   4935.74658       1.08598769    
   4942.43311       1.05331135    
   4949.12842       1.00944769    
   4955.83350      0.962769866    
   4962.54736      0.924080670    
   4969.27002      0.903803349    
   4976.00244      0.909002244    
   4982.74316      0.941086292    
   4989.49316      0.994916797    
   4996.25244       1.05969548    
   5003.02148       1.12152231    
   5009.79932       1.16701949    
   5016.58594       1.18707442    
   5023.38184       1.17964578    
   5030.18750       1.15078104    
   5037.00146       1.11343551    
   5043.82520       1.08428359    
   5050.65820       1.07927775    
   5057.50049       1.10910439    
   5064.35205       1.17577040    
   5071.21289       1.27130604    
   5078.08301       1.37903869    
   5084.96240       1.47721577    
   5091.85107       1.54412699    
   5098.74902       1.56344748    
   5105.65625       1.52843642    
   5112.57275       1.44390726    
   5119.49902       1.32543492    
   5126.43506       1.19598961    
   5133.37988       1.08082926    
   5140.33398       1.00192428    
   5147.29785      0.973281384    
   5154.27051      0.998270571    
   5161.25391       1.06951666    
   5168.24561       1.17124724    
   5175.24658       1.28337300    
   5182.25781       1.38617814    
   5189.27832       1.46441960    
   5196.30859       1.50986922    
   5203.34766       1.52182639    
   5210.39746       1.50569630    
   5217.45605       1.47024894    
   5224.52393       1.42447627    
   5231.60156       1.37499011    
   5238.68945       1.32465851    
   5245.78564       1.27275395    
   5252.89258       1.21640670    
   5260.00879       1.15277505    
   5267.13477       1.08115530    
   5274.27051       1.00431561    
   5281.41602      0.928608119    
   5288.57031      0.862810254    
   5295.73486      0.816038966    
   5302.90869      0.795365751    
   5310.09277      0.803841889    
   5317.28662      0.839513719    
   5324.49023      0.895716429    
   5331.70312      0.962558031    
   5338.92578       1.02917814    
   5346.15869       1.08615375    
   5353.40137       1.12741303    
   5360.65381       1.15117669    
   5367.91602       1.15973902    
   5375.18799       1.15823221    
   5382.46973       1.15279055    
   5389.76123       1.14866936    
   5397.06299       1.14885342    
   5404.37451       1.15351188    
