# Template No.           4: sn2004dj (IIP; +8) ; z= 0.037 +/- 0.001
#redshifted_wavelength[A] flux[arbitraty]
   4420.14697      0.904747903    
   4426.13525      0.908363044    
   4432.13184      0.913122237    
   4438.13574      0.918206334    
   4444.14795      0.922551095    
   4450.16895      0.925176799    
   4456.19727      0.925527513    
   4462.23438      0.923703194    
   4468.27930      0.920494676    
   4474.33252      0.917186797    
   4480.39453      0.915173411    
   4486.46338      0.915494740    
   4492.54150      0.918446302    
   4498.62793      0.923398793    
   4504.72217      0.928912878    
   4510.82520      0.933140695    
   4516.93555      0.934407592    
   4523.05469      0.931800604    
   4529.18262      0.925566554    
   4535.31836      0.917171121    
   4541.46240      0.908965349    
   4547.61475      0.903530121    
   4553.77539      0.902880847    
   4559.94482      0.907772362    
   4566.12207      0.917330146    
   4572.30811      0.929147422    
   4578.50195      0.939842224    
   4584.70459      0.945925713    
   4590.91553      0.944722891    
   4597.13477      0.935056746    
   4603.36279      0.917473316    
   4609.59912      0.893925488    
   4615.84375      0.867013037    
   4622.09717      0.839033365    
   4628.35840      0.811179280    
   4634.62842      0.783192039    
   4640.90723      0.753645003    
   4647.19434      0.720822036    
   4653.49023      0.683944166    
   4659.79443      0.644338727    
   4666.10693      0.606115520    
   4672.42822      0.576017201    
   4678.75781      0.562335610    
   4685.09619      0.573076665    
   4691.44336      0.613803923    
   4697.79883      0.685749531    
   4704.16357      0.784760416    
   4710.53613      0.901470304    
   4716.91748       1.02277005    
   4723.30762       1.13429689    
   4729.70605       1.22336984    
   4736.11426       1.28164268    
   4742.52979       1.30680978    
   4748.95508       1.30291808    
   4755.38818       1.27921402    
   4761.83008       1.24783337    
   4768.28125       1.22093558    
   4774.74121       1.20801592    
   4781.20947       1.21405101    
   4787.68701       1.23887682    
   4794.17236       1.27784479    
   4800.66748       1.32345986    
   4807.17090       1.36745846    
   4813.68359       1.40273333    
   4820.20410       1.42461634    
   4826.73486       1.43129361    
   4833.27344       1.42341435    
   4839.82129       1.40319884    
   4846.37793       1.37346256    
   4852.94336       1.33692086    
   4859.51807       1.29595482    
   4866.10107       1.25279081    
   4872.69336       1.20983732    
   4879.29443       1.16984677    
   4885.90430       1.13563907    
   4892.52344       1.10933340    
   4899.15137       1.09129179    
   4905.78857       1.07919598    
   4912.43457       1.06775236    
   4919.08936       1.04940414    
   4925.75342       1.01612043    
   4932.42627      0.961962342    
   4939.10840      0.885744631    
   4945.79980      0.792941153    
   4952.49951      0.696038723    
   4959.20898      0.612895608    
   4965.92773      0.563204169    
   4972.65479      0.563756049    
   4979.39111      0.623677373    
   4986.13672      0.740974844    
   4992.89209      0.901529253    
   4999.65576       1.08111000    
   5006.42871       1.25019372    
   5013.21143       1.38056588    
   5020.00293       1.45209956    
   5026.80322       1.45792973    
   5033.61328       1.40654314    
   5040.43213       1.32005310    
   5047.26074       1.22890842    
   5054.09863       1.16426086    
   5060.94531       1.14990497    
   5067.80127       1.19588780    
   5074.66699       1.29552281    
   5081.54150       1.42668474    
   5088.42529       1.55715191    
   5095.31885       1.65268528    
   5102.22168       1.68578911    
   5109.13379       1.64289296    
   5116.05566       1.52809167    
   5122.98633       1.36247361    
   5129.92676       1.17921507    
   5136.87598       1.01572299    
   5143.83496      0.904847741    
   5150.80371      0.867397487    
   5157.78125      0.907792091    
   5164.76855       1.01382840    
   5171.76514       1.16043460    
   5178.77148       1.31626534    
   5185.78760       1.45130575    
   5192.81299       1.54349291    
   5199.84814       1.58273935    
   5206.89258       1.57153606    
   5213.94580       1.52228093    
   5221.00928       1.45236051    
   5228.08252       1.37854254    
   5235.16455       1.31232309    
   5242.25684       1.25746489    
   5249.35938       1.21026158    
   5256.47021       1.16222250    
   5263.59180       1.10418558    
   5270.72266       1.03049779    
   5277.86279      0.941947699    
   5285.01318      0.846561015    
   5292.17236      0.758044004    
   5299.34180      0.692358434    
   5306.52100      0.663448155    
   5313.70996      0.679363489    
   5320.90820      0.739879370    
   5328.11621      0.836255610    
   5335.33447      0.953164697    
   5342.56250       1.07222068    
   5349.80029       1.17611897    
   5357.04785       1.25228465    
   5364.30469       1.29511547    
   5371.57227       1.30634046    
